,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,10.0,0,0.0006312079999872822,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1,0.99,0.001,0.999993656167729,1,8192
1,1,10.0,1,0.0032816249999996217,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1,0.99,0.001,0.9999670191104862,1,8192
2,2,8.0,3,0.0047414579999838224,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1,0.99,0.001,0.9999523478900627,1,8192
3,4,9.0,7,0.006021624999988262,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1,0.99,0.001,0.9999394824776254,1,8192
4,8,7.0,15,0.007272374999985232,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]",geometric,1,0.99,0.001,0.9999269128597927,1,8192
5,16,13.0,30,0.008596291000003475,"[1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]",geometric,1,0.99,0.001,0.9999136081203489,1,8192
6,32,14.0,53,0.010101415999997698,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]",geometric,1,0.99,0.001,0.9998984825298513,1,8192
7,64,19.0,109,0.012225124999986292,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,1,0.99,0.001,0.9998771409356921,1,8192
8,128,19.0,109,0.012225124999986292,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,1,0.99,0.001,0.9998771409356921,1,8192
9,256,19.0,109,0.012225124999986292,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,1,0.99,0.001,0.9998771409356921,1,8192
