,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,5.0,0,0.0010142500000256405,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",False,150,0.25,512
1,1,9.0,2,0.024365165999824967,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.25,512
2,2,9.0,2,0.024365165999824967,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.25,512
3,4,9.0,2,0.024365165999824967,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.25,512
4,8,9.0,2,0.024365165999824967,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.25,512
5,16,9.0,2,0.024365165999824967,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.25,512
6,32,9.0,2,0.024365165999824967,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.25,512
7,64,9.0,2,0.024365165999824967,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.25,512
8,128,9.0,2,0.024365165999824967,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.25,512
9,256,9.0,2,0.024365165999824967,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.25,512
10,512,9.0,2,0.024365165999824967,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",False,150,0.25,512
11,0,5.0,0,9.695800008557853e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",False,150,0.5,512
12,1,8.0,2,0.01684566599988102,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]",False,150,0.5,512
13,0,5.0,0,9.737500022310996e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",False,150,0.75,512
14,1,8.0,2,0.014963292000174988,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]",False,150,0.75,512
15,0,5.0,0,0.00010079200001200661,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",False,200,0.25,512
16,1,8.0,2,0.022371042000031593,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]",False,200,0.25,512
17,0,5.0,0,8.787499973550439e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",False,200,0.5,512
18,1,8.0,2,0.016491832999690814,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",False,200,0.5,512
19,0,5.0,0,0.00012599999990925426,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",False,200,0.75,512
20,1,8.0,2,0.01939266699992004,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",False,200,0.75,512
21,0,5.0,0,0.00013312500004758476,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",False,300,0.25,512
22,1,9.0,2,0.015315749999899708,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]",False,300,0.25,512
23,2,9.0,2,0.015315749999899708,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]",False,300,0.25,512
