,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.000363915999969322,5.0,0.0,25,512,0
1,1,0.005797000000256958,5.0,1.0,25,512,0
2,1,0.005797000000256958,5.0,2.0,25,512,1
3,1,0.005797000000256958,2.0,4.0,25,512,2
4,1,0.005797000000256958,4.0,5.0,25,512,3
5,1,0.005797000000256958,5.0,7.0,25,512,4
6,1,0.005797000000256958,5.0,8.0,25,512,5
7,1,0.005797000000256958,7.0,9.0,25,512,6
8,1,0.005797000000256958,3.0,11.0,25,512,7
9,1,0.005797000000256958,2.0,12.0,25,512,8
10,1,0.005797000000256958,8.0,13.0,25,512,9
11,1,0.005797000000256958,7.0,14.0,25,512,10
12,1,0.005797000000256958,3.0,15.0,25,512,11
13,1,0.005797000000256958,3.0,16.0,25,512,12
14,1,0.005797000000256958,6.0,17.0,25,512,13
15,1,0.005797000000256958,4.0,18.0,25,512,14
16,1,0.005797000000256958,6.0,20.0,25,512,15
17,1,0.005797000000256958,2.0,21.0,25,512,16
18,1,0.005797000000256958,4.0,22.0,25,512,17
19,1,0.005797000000256958,4.0,23.0,25,512,18
20,1,0.005797000000256958,2.0,24.0,25,512,19
21,1,0.005797000000256958,5.0,25.0,25,512,20
22,1,0.005797000000256958,4.0,26.0,25,512,21
23,1,0.005797000000256958,3.0,27.0,25,512,22
24,1,0.005797000000256958,6.0,28.0,25,512,23
25,1,0.005797000000256958,3.0,29.0,25,512,24
26,1,0.005797000000256958,5.0,30.0,25,512,25
27,0,0.000363915999969322,5.0,0.0,75,512,0
28,1,0.005797000000256958,5.0,1.0,75,512,0
29,1,0.005797000000256958,5.0,2.0,75,512,1
30,1,0.005797000000256958,2.0,4.0,75,512,2
31,1,0.005797000000256958,4.0,5.0,75,512,3
32,1,0.005797000000256958,5.0,7.0,75,512,4
33,1,0.005797000000256958,5.0,8.0,75,512,5
34,1,0.005797000000256958,7.0,9.0,75,512,6
35,1,0.005797000000256958,3.0,11.0,75,512,7
36,1,0.005797000000256958,2.0,12.0,75,512,8
37,1,0.005797000000256958,8.0,13.0,75,512,9
38,1,0.005797000000256958,7.0,14.0,75,512,10
39,1,0.005797000000256958,3.0,15.0,75,512,11
40,1,0.005797000000256958,3.0,16.0,75,512,12
41,1,0.005797000000256958,6.0,17.0,75,512,13
42,1,0.005797000000256958,4.0,18.0,75,512,14
43,1,0.005797000000256958,6.0,20.0,75,512,15
44,1,0.005797000000256958,2.0,21.0,75,512,16
45,1,0.005797000000256958,4.0,22.0,75,512,17
46,1,0.005797000000256958,4.0,23.0,75,512,18
47,1,0.005797000000256958,2.0,24.0,75,512,19
48,1,0.005797000000256958,5.0,25.0,75,512,20
49,1,0.005797000000256958,4.0,26.0,75,512,21
50,1,0.005797000000256958,3.0,27.0,75,512,22
51,1,0.005797000000256958,6.0,28.0,75,512,23
52,1,0.005797000000256958,3.0,29.0,75,512,24
53,1,0.005797000000256958,5.0,30.0,75,512,25
54,1,0.005797000000256958,5.0,31.0,75,512,26
55,1,0.005797000000256958,4.0,32.0,75,512,27
56,1,0.005797000000256958,6.0,33.0,75,512,28
57,1,0.005797000000256958,6.0,34.0,75,512,29
58,1,0.005797000000256958,5.0,35.0,75,512,30
59,1,0.005797000000256958,5.0,37.0,75,512,31
60,1,0.005797000000256958,7.0,39.0,75,512,32
61,1,0.005797000000256958,3.0,40.0,75,512,33
62,1,0.005797000000256958,3.0,41.0,75,512,34
63,1,0.005797000000256958,2.0,42.0,75,512,35
64,1,0.005797000000256958,8.0,43.0,75,512,36
65,1,0.005797000000256958,5.0,45.0,75,512,37
66,1,0.005797000000256958,4.0,46.0,75,512,38
67,1,0.005797000000256958,8.0,47.0,75,512,39
68,1,0.005797000000256958,9.0,48.0,75,512,40
69,0,0.000363915999969322,5.0,0.0,100,512,0
70,1,0.005797000000256958,5.0,1.0,100,512,0
71,1,0.005797000000256958,5.0,2.0,100,512,1
72,1,0.005797000000256958,2.0,4.0,100,512,2
73,1,0.005797000000256958,4.0,5.0,100,512,3
74,1,0.005797000000256958,5.0,7.0,100,512,4
75,1,0.005797000000256958,5.0,8.0,100,512,5
76,1,0.005797000000256958,7.0,9.0,100,512,6
77,1,0.005797000000256958,3.0,11.0,100,512,7
78,1,0.005797000000256958,2.0,12.0,100,512,8
79,1,0.005797000000256958,8.0,13.0,100,512,9
80,1,0.005797000000256958,7.0,14.0,100,512,10
81,1,0.005797000000256958,3.0,15.0,100,512,11
82,1,0.005797000000256958,3.0,16.0,100,512,12
83,1,0.005797000000256958,6.0,17.0,100,512,13
84,1,0.005797000000256958,4.0,18.0,100,512,14
85,1,0.005797000000256958,6.0,20.0,100,512,15
86,1,0.005797000000256958,2.0,21.0,100,512,16
87,1,0.005797000000256958,4.0,22.0,100,512,17
88,1,0.005797000000256958,4.0,23.0,100,512,18
89,1,0.005797000000256958,2.0,24.0,100,512,19
90,1,0.005797000000256958,5.0,25.0,100,512,20
91,1,0.005797000000256958,4.0,26.0,100,512,21
92,1,0.005797000000256958,3.0,27.0,100,512,22
93,1,0.005797000000256958,6.0,28.0,100,512,23
94,1,0.005797000000256958,3.0,29.0,100,512,24
95,1,0.005797000000256958,5.0,30.0,100,512,25
96,1,0.005797000000256958,5.0,31.0,100,512,26
97,1,0.005797000000256958,4.0,32.0,100,512,27
98,1,0.005797000000256958,6.0,33.0,100,512,28
99,1,0.005797000000256958,6.0,34.0,100,512,29
100,1,0.005797000000256958,5.0,35.0,100,512,30
101,1,0.005797000000256958,5.0,37.0,100,512,31
102,1,0.005797000000256958,7.0,39.0,100,512,32
103,1,0.005797000000256958,3.0,40.0,100,512,33
104,1,0.005797000000256958,3.0,41.0,100,512,34
105,1,0.005797000000256958,2.0,42.0,100,512,35
106,1,0.005797000000256958,8.0,43.0,100,512,36
107,1,0.005797000000256958,5.0,45.0,100,512,37
108,1,0.005797000000256958,4.0,46.0,100,512,38
109,1,0.005797000000256958,8.0,47.0,100,512,39
110,1,0.005797000000256958,9.0,48.0,100,512,40
