,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0007270829996741668,13.0,0.0,False,150,0.25,512
1,1,0.13793949999990218,24.0,2.0,False,150,0.25,512
2,0,0.0007270829996741668,13.0,0.0,False,150,0.5,512
3,1,0.13793949999990218,22.0,2.0,False,150,0.5,512
4,0,0.0007270829996741668,13.0,0.0,False,150,0.75,512
5,1,0.13793949999990218,21.0,2.0,False,150,0.75,512
6,0,0.0007270829996741668,13.0,0.0,False,200,0.25,512
7,1,0.13793949999990218,24.0,2.0,False,200,0.25,512
8,0,0.0007270829996741668,13.0,0.0,False,200,0.5,512
9,1,0.13793949999990218,25.0,2.0,False,200,0.5,512
10,0,0.0007270829996741668,13.0,0.0,False,200,0.75,512
11,1,0.13793949999990218,21.0,2.0,False,200,0.75,512
12,0,0.0007270829996741668,13.0,0.0,False,300,0.25,512
13,1,0.13793949999990218,23.0,2.0,False,300,0.25,512
14,0,0.0007270829996741668,13.0,0.0,False,300,0.5,512
15,1,0.13793949999990218,23.0,2.0,False,300,0.5,512
16,0,0.0007270829996741668,13.0,0.0,False,300,0.75,512
17,1,0.13793949999990218,22.0,2.0,False,300,0.75,512
