,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,453.0,150,0.0034497910000936827,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",False,150,0.25,512
1,1,569.0,302,0.040662875000180065,"[7.0, 2.0, 4.0, 7.0, 6.0, 8.0, 9.0, 7.0, 1.0, 3.0, 8.0, 7.0, 9.0, 3.0, 9.0]",False,150,0.25,512
2,2,574.0,454,0.07676129100036633,"[8.0, 0.0, 9.0, 6.0, 5.0, 7.0, 6.0, 4.0, 3.0, 1.0, 9.0, 5.0, 9.0, 9.0, 9.0]",False,150,0.25,512
3,4,608.0,758,0.14384366600006615,"[9.0, 0.0, 9.0, 8.0, 6.0, 9.0, 8.0, 1.0, 3.0, 5.0, 9.0, 7.0, 7.0, 3.0, 9.0]",False,150,0.25,512
4,8,633.0,1365,0.2678655830000025,"[9.0, 0.0, 9.0, 9.0, 9.0, 9.0, 8.0, 1.0, 3.0, 1.0, 9.0, 7.0, 9.0, 3.0, 9.0]",False,150,0.25,512
5,16,639.0,2574,0.5028459580003073,"[9.0, 0.0, 9.0, 9.0, 6.0, 9.0, 9.0, 1.0, 3.0, 1.0, 9.0, 7.0, 9.0, 9.0, 9.0]",False,150,0.25,512
6,32,639.0,4990,0.9998341660002552,"[9.0, 0.0, 9.0, 9.0, 6.0, 9.0, 9.0, 1.0, 3.0, 1.0, 9.0, 7.0, 9.0, 9.0, 9.0]",False,150,0.25,512
7,64,639.0,9822,1.9409423750003043,"[9.0, 0.0, 9.0, 9.0, 6.0, 9.0, 9.0, 1.0, 3.0, 1.0, 9.0, 7.0, 9.0, 9.0, 9.0]",False,150,0.25,512
8,128,639.0,19486,3.783110625000063,"[9.0, 0.0, 9.0, 9.0, 6.0, 9.0, 9.0, 1.0, 3.0, 1.0, 9.0, 7.0, 9.0, 9.0, 9.0]",False,150,0.25,512
9,256,639.0,38814,7.459400541000377,"[9.0, 0.0, 9.0, 9.0, 6.0, 9.0, 9.0, 1.0, 3.0, 1.0, 9.0, 7.0, 9.0, 9.0, 9.0]",False,150,0.25,512
10,512,639.0,77017,14.840452583000115,"[9.0, 0.0, 9.0, 9.0, 6.0, 9.0, 9.0, 1.0, 3.0, 1.0, 9.0, 7.0, 9.0, 9.0, 9.0]",False,150,0.25,512
11,0,453.0,150,0.0014641669999946316,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",False,150,0.5,512
