,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,453.0,0,0.00016504100040037883,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",25,512,0
1,1,453.0,1,0.011423250000007101,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",25,512,0
2,2,453.0,2,0.01284075000012308,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",25,512,0
3,4,459.0,5,0.013945333000265236,"[6, 5, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",25,512,0
4,8,459.0,9,0.015020000000276923,"[6, 5, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",25,512,0
5,16,459.0,17,0.016160750000381086,"[6, 5, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",25,512,0
6,32,459.0,33,0.017505125000297994,"[6, 5, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",25,512,0
7,64,459.0,65,0.01967329100034476,"[6, 5, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",25,512,0
8,128,459.0,129,0.023146208000071056,"[6, 5, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",25,512,0
9,256,459.0,257,0.030420291000154975,"[6, 5, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",25,512,0
10,512,459.0,513,0.05115975000035178,"[6, 5, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",25,512,0
11,0,410.0,513,0.05644687500034706,"[7, 7, 2, 6, 2, 5, 5, 2, 6, 2, 7, 9, 3, 0, 3]",25,512,1
12,1,417.0,515,0.05990591600038897,"[7, 7, 2, 6, 2, 5, 5, 2, 6, 2, 7, 9, 3, 7, 3]",25,512,1
13,2,417.0,516,0.0629888330004178,"[7, 7, 2, 6, 2, 5, 5, 2, 6, 2, 7, 9, 3, 7, 3]",25,512,1
14,4,444.0,519,0.06587862500009578,"[7, 7, 2, 6, 2, 5, 5, 2, 6, 2, 7, 9, 6, 7, 3]",25,512,1
15,8,444.0,523,0.0696851659999993,"[7, 7, 2, 6, 2, 5, 5, 2, 6, 2, 7, 9, 6, 7, 3]",25,512,1
16,16,487.0,536,0.07391862500026036,"[7, 7, 2, 8, 4, 6, 5, 2, 6, 5, 7, 9, 8, 7, 3]",25,512,1
17,32,487.0,552,0.07886300000018309,"[7, 7, 2, 8, 4, 6, 5, 2, 6, 5, 7, 9, 8, 7, 3]",25,512,1
18,64,492.0,585,0.08681475000003047,"[7, 7, 2, 9, 4, 6, 5, 2, 6, 5, 7, 9, 8, 7, 3]",25,512,1
19,128,492.0,649,0.09701025000003938,"[7, 7, 2, 9, 4, 6, 5, 2, 6, 5, 7, 9, 8, 7, 3]",25,512,1
20,256,492.0,777,0.12580891600009636,"[7, 7, 2, 9, 4, 6, 5, 2, 6, 5, 7, 9, 8, 7, 3]",25,512,1
21,512,492.0,1033,0.1713267910004106,"[7, 7, 2, 9, 4, 6, 5, 2, 6, 5, 7, 9, 8, 7, 3]",25,512,1
22,0,343.0,1033,0.17626970800029085,"[7, 5, 6, 8, 4, 0, 9, 6, 4, 2, 8, 0, 0, 0, 2]",25,512,2
23,1,379.0,1035,0.18032133300039277,"[7, 5, 6, 8, 4, 0, 9, 6, 4, 2, 8, 6, 0, 0, 2]",25,512,2
24,2,380.0,1037,0.18538366600023437,"[7, 5, 6, 8, 4, 0, 9, 6, 4, 3, 8, 6, 0, 0, 2]",25,512,2
25,4,389.0,1040,0.18960929100012436,"[7, 5, 6, 8, 4, 0, 9, 6, 4, 3, 8, 6, 0, 9, 2]",25,512,2
26,8,397.0,1046,0.1949190410000483,"[7, 6, 6, 8, 4, 0, 9, 6, 4, 8, 8, 6, 0, 9, 2]",25,512,2
27,16,528.0,1057,0.20085941600018486,"[7, 6, 6, 8, 4, 0, 9, 6, 4, 8, 8, 6, 9, 9, 7]",25,512,2
28,32,529.0,1074,0.20838625000033062,"[7, 6, 6, 8, 4, 0, 9, 6, 4, 9, 8, 6, 9, 9, 7]",25,512,2
29,64,529.0,1106,0.21853966600019703,"[7, 6, 6, 8, 4, 0, 9, 6, 4, 9, 8, 6, 9, 9, 7]",25,512,2
30,128,529.0,1170,0.23454187500010448,"[7, 6, 6, 8, 4, 0, 9, 6, 4, 9, 8, 6, 9, 9, 7]",25,512,2
31,256,529.0,1298,0.2647209159999875,"[7, 6, 6, 8, 4, 0, 9, 6, 4, 9, 8, 6, 9, 9, 7]",25,512,2
32,512,529.0,1554,0.32814983300022504,"[7, 6, 6, 8, 4, 0, 9, 6, 4, 9, 8, 6, 9, 9, 7]",25,512,2
33,0,423.0,1554,0.33521245800011457,"[7, 5, 3, 4, 7, 2, 2, 3, 0, 8, 7, 7, 9, 5, 6]",25,512,3
34,1,479.0,1556,0.3418549160001021,"[7, 5, 3, 4, 7, 9, 2, 3, 0, 8, 7, 7, 9, 5, 6]",25,512,3
35,2,479.0,1557,0.34839912500001446,"[7, 5, 3, 4, 7, 9, 2, 3, 0, 8, 7, 7, 9, 5, 6]",25,512,3
36,4,499.0,1560,0.35513654100032,"[7, 5, 3, 4, 7, 9, 2, 3, 4, 8, 7, 7, 9, 5, 6]",25,512,3
37,8,503.0,1565,0.36306620800041856,"[7, 5, 3, 4, 7, 9, 2, 3, 4, 8, 7, 7, 9, 9, 6]",25,512,3
38,16,511.0,1574,0.3714630410004247,"[8, 5, 3, 4, 7, 9, 2, 3, 4, 8, 7, 7, 9, 9, 6]",25,512,3
39,32,511.0,1590,0.3819425830001819,"[8, 5, 3, 4, 7, 9, 2, 3, 4, 8, 7, 7, 9, 9, 6]",25,512,3
40,64,511.0,1622,0.396017208000103,"[8, 5, 3, 4, 7, 9, 2, 3, 4, 8, 7, 7, 9, 9, 6]",25,512,3
41,128,511.0,1686,0.41988045800007967,"[8, 5, 3, 4, 7, 9, 2, 3, 4, 8, 7, 7, 9, 9, 6]",25,512,3
42,256,511.0,1814,0.46129158300027484,"[8, 5, 3, 4, 7, 9, 2, 3, 4, 8, 7, 7, 9, 9, 6]",25,512,3
43,512,511.0,2070,0.5468638750003265,"[8, 5, 3, 4, 7, 9, 2, 3, 4, 8, 7, 7, 9, 9, 6]",25,512,3
44,0,462.0,2070,0.55530783300037,"[8, 4, 6, 9, 1, 4, 8, 2, 8, 5, 3, 6, 7, 5, 4]",25,512,4
45,1,470.0,2072,0.563263458000165,"[8, 4, 6, 9, 1, 5, 8, 2, 8, 5, 3, 6, 7, 5, 4]",25,512,4
46,2,470.0,2073,0.5711663330002921,"[8, 4, 6, 9, 1, 5, 8, 2, 8, 5, 3, 6, 7, 5, 4]",25,512,4
47,4,510.0,2076,0.580283416000384,"[8, 4, 6, 9, 1, 5, 8, 2, 8, 5, 7, 6, 7, 5, 4]",25,512,4
48,8,560.0,2081,0.5894373330002054,"[8, 4, 6, 9, 1, 5, 8, 2, 8, 5, 7, 6, 7, 5, 9]",25,512,4
49,16,568.0,2090,0.5997748330000832,"[9, 4, 6, 9, 1, 5, 8, 2, 8, 5, 7, 6, 7, 5, 9]",25,512,4
50,32,570.0,2107,0.6128104160002295,"[9, 4, 6, 9, 1, 5, 8, 2, 8, 7, 7, 6, 7, 5, 9]",25,512,4
51,64,570.0,2139,0.6309459160002007,"[9, 4, 6, 9, 1, 5, 8, 2, 8, 7, 7, 6, 7, 5, 9]",25,512,4
52,128,570.0,2203,0.6599150000001828,"[9, 4, 6, 9, 1, 5, 8, 2, 8, 7, 7, 6, 7, 5, 9]",25,512,4
53,256,570.0,2331,0.7133016660000067,"[9, 4, 6, 9, 1, 5, 8, 2, 8, 7, 7, 6, 7, 5, 9]",25,512,4
54,512,570.0,2587,0.8181986660001712,"[9, 4, 6, 9, 1, 5, 8, 2, 8, 7, 7, 6, 7, 5, 9]",25,512,4
55,0,447.0,2587,0.8276072500002556,"[8, 3, 8, 5, 0, 2, 1, 8, 0, 8, 8, 7, 7, 0, 7]",25,512,5
56,1,447.0,2588,0.8378493750001326,"[8, 3, 8, 5, 0, 2, 1, 8, 0, 8, 8, 7, 7, 0, 7]",25,512,5
57,2,447.0,2589,0.8485933330002808,"[8, 3, 8, 5, 0, 2, 1, 8, 0, 8, 8, 7, 7, 0, 7]",25,512,5
58,4,447.0,2591,0.8589539580002565,"[8, 3, 8, 5, 0, 2, 1, 8, 0, 8, 8, 7, 7, 0, 7]",25,512,5
59,8,537.0,2598,0.8702676660000179,"[8, 3, 8, 5, 8, 6, 8, 8, 0, 8, 8, 7, 7, 0, 7]",25,512,5
60,16,542.0,2607,0.8829848750001474,"[8, 3, 8, 5, 8, 6, 8, 8, 1, 8, 8, 7, 7, 0, 7]",25,512,5
61,32,542.0,2623,0.8993298750001486,"[8, 3, 8, 5, 8, 6, 8, 8, 1, 8, 8, 7, 7, 0, 7]",25,512,5
62,64,542.0,2655,0.9219181250000474,"[8, 3, 8, 5, 8, 6, 8, 8, 1, 8, 8, 7, 7, 0, 7]",25,512,5
63,128,542.0,2719,0.9584150000000591,"[8, 3, 8, 5, 8, 6, 8, 8, 1, 8, 8, 7, 7, 0, 7]",25,512,5
64,256,542.0,2847,1.0226758750000045,"[8, 3, 8, 5, 8, 6, 8, 8, 1, 8, 8, 7, 7, 0, 7]",25,512,5
65,512,542.0,3103,1.1503643750002084,"[8, 3, 8, 5, 8, 6, 8, 8, 1, 8, 8, 7, 7, 0, 7]",25,512,5
66,0,417.0,3103,1.1617792080000982,"[1, 1, 9, 6, 1, 1, 8, 6, 2, 2, 6, 4, 9, 5, 7]",25,512,6
67,1,417.0,3104,1.1749576660004095,"[1, 1, 9, 6, 1, 1, 8, 6, 2, 2, 6, 4, 9, 5, 7]",25,512,6
68,2,417.0,3105,1.1866551250000157,"[1, 1, 9, 6, 1, 1, 8, 6, 2, 2, 6, 4, 9, 5, 7]",25,512,6
69,4,465.0,3108,1.1986483330001647,"[1, 1, 9, 6, 1, 7, 8, 6, 2, 2, 6, 4, 9, 5, 7]",25,512,6
70,8,483.0,3113,1.2122330410002178,"[1, 1, 9, 6, 1, 7, 8, 6, 2, 2, 6, 7, 9, 5, 7]",25,512,6
71,16,499.0,3124,1.2276428750001287,"[1, 3, 9, 6, 3, 7, 8, 6, 2, 2, 6, 8, 9, 5, 7]",25,512,6
72,32,521.0,3143,1.2468564160003552,"[1, 3, 9, 6, 9, 7, 8, 6, 2, 2, 7, 8, 9, 5, 7]",25,512,6
73,64,521.0,3175,1.2755190410002797,"[1, 3, 9, 6, 9, 7, 8, 6, 2, 2, 7, 8, 9, 5, 7]",25,512,6
74,128,521.0,3239,1.3203919160000623,"[1, 3, 9, 6, 9, 7, 8, 6, 2, 2, 7, 8, 9, 5, 7]",25,512,6
75,256,521.0,3367,1.4049531250002474,"[1, 3, 9, 6, 9, 7, 8, 6, 2, 2, 7, 8, 9, 5, 7]",25,512,6
76,512,521.0,3623,1.6262425830000211,"[1, 3, 9, 6, 9, 7, 8, 6, 2, 2, 7, 8, 9, 5, 7]",25,512,6
77,0,380.0,3623,1.6426114160003635,"[8, 4, 1, 9, 7, 6, 7, 2, 3, 4, 5, 0, 3, 9, 4]",25,512,7
78,1,380.0,3624,1.6564585000000989,"[8, 4, 1, 9, 7, 6, 7, 2, 3, 4, 5, 0, 3, 9, 4]",25,512,7
79,2,380.0,3625,1.6939000000002125,"[8, 4, 1, 9, 7, 6, 7, 2, 3, 4, 5, 0, 3, 9, 4]",25,512,7
80,4,410.0,3629,1.7139100829999734,"[8, 4, 1, 9, 7, 6, 7, 7, 3, 4, 7, 0, 3, 9, 4]",25,512,7
81,8,445.0,3635,1.733894208000038,"[8, 4, 1, 9, 7, 6, 7, 7, 3, 9, 7, 5, 3, 9, 4]",25,512,7
82,16,493.0,3646,1.761235082999974,"[9, 4, 5, 9, 7, 8, 7, 7, 3, 9, 7, 5, 3, 9, 4]",25,512,7
83,32,497.0,3663,1.7943527500001437,"[9, 4, 5, 9, 7, 8, 7, 9, 3, 9, 7, 5, 3, 9, 4]",25,512,7
84,64,497.0,3695,1.8336945000000924,"[9, 4, 5, 9, 7, 8, 7, 9, 3, 9, 7, 5, 3, 9, 4]",25,512,7
85,128,497.0,3759,1.9253597500000978,"[9, 4, 5, 9, 7, 8, 7, 9, 3, 9, 7, 5, 3, 9, 4]",25,512,7
86,256,497.0,3887,2.093645958000252,"[9, 4, 5, 9, 7, 8, 7, 9, 3, 9, 7, 5, 3, 9, 4]",25,512,7
87,512,497.0,4143,2.312938041000052,"[9, 4, 5, 9, 7, 8, 7, 9, 3, 9, 7, 5, 3, 9, 4]",25,512,7
88,0,461.0,4143,2.3277634580003905,"[5, 1, 5, 9, 7, 1, 8, 7, 9, 0, 6, 9, 5, 5, 5]",25,512,8
89,1,461.0,4144,2.3440160830000423,"[5, 1, 5, 9, 7, 1, 8, 7, 9, 0, 6, 9, 5, 5, 5]",25,512,8
90,2,461.0,4145,2.3591767080001773,"[5, 1, 5, 9, 7, 1, 8, 7, 9, 0, 6, 9, 5, 5, 5]",25,512,8
91,4,474.0,4149,2.376376000000164,"[5, 1, 7, 9, 7, 1, 8, 7, 9, 0, 6, 9, 5, 6, 5]",25,512,8
92,8,474.0,4153,2.393659958000171,"[5, 1, 7, 9, 7, 1, 8, 7, 9, 0, 6, 9, 5, 6, 5]",25,512,8
93,16,486.0,4163,2.413151000000198,"[5, 1, 8, 9, 7, 1, 9, 7, 9, 0, 6, 9, 5, 6, 5]",25,512,8
94,32,495.0,4181,2.4375929580000957,"[5, 1, 9, 9, 7, 1, 9, 7, 9, 3, 6, 9, 5, 6, 5]",25,512,8
95,64,495.0,4213,2.480566125000223,"[5, 1, 9, 9, 7, 1, 9, 7, 9, 3, 6, 9, 5, 6, 5]",25,512,8
96,128,503.0,4278,2.5402848749999976,"[6, 1, 9, 9, 7, 1, 9, 7, 9, 3, 6, 9, 5, 6, 5]",25,512,8
97,256,503.0,4406,2.648382583000057,"[6, 1, 9, 9, 7, 1, 9, 7, 9, 3, 6, 9, 5, 6, 5]",25,512,8
98,512,503.0,4662,2.854707375000089,"[6, 1, 9, 9, 7, 1, 9, 7, 9, 3, 6, 9, 5, 6, 5]",25,512,8
99,0,0.0,4662,2.8709200410003177,"[1, 8, 9, 7, 7, 8, 6, 8, 9, 1, 5, 2, 5, 2, 7]",25,512,9
100,1,436.0,4664,2.8883351250001397,"[1, 8, 9, 7, 7, 8, 6, 8, 9, 1, 5, 2, 5, 2, 3]",25,512,9
101,2,436.0,4665,2.905449208000391,"[1, 8, 9, 7, 7, 8, 6, 8, 9, 1, 5, 2, 5, 2, 3]",25,512,9
102,4,436.0,4667,2.9227659160001167,"[1, 8, 9, 7, 7, 8, 6, 8, 9, 1, 5, 2, 5, 2, 3]",25,512,9
103,8,436.0,4671,2.941403375000391,"[1, 8, 9, 7, 7, 8, 6, 8, 9, 1, 5, 2, 5, 2, 3]",25,512,9
104,16,436.0,4679,2.962851000000228,"[1, 8, 9, 7, 7, 8, 6, 8, 9, 1, 5, 2, 5, 2, 3]",25,512,9
105,32,436.0,4695,2.9910847910000484,"[1, 8, 9, 7, 7, 8, 6, 8, 9, 1, 5, 2, 5, 2, 3]",25,512,9
106,64,436.0,4727,3.031190874999993,"[1, 8, 9, 7, 7, 8, 6, 8, 9, 1, 5, 2, 5, 2, 3]",25,512,9
107,128,436.0,4791,3.095494458000303,"[1, 8, 9, 7, 7, 8, 6, 8, 9, 1, 5, 2, 5, 2, 3]",25,512,9
108,256,437.0,4920,3.207639250000284,"[1, 8, 9, 7, 7, 8, 6, 8, 9, 1, 5, 2, 5, 3, 3]",25,512,9
109,512,437.0,5176,3.420659958000215,"[1, 8, 9, 7, 7, 8, 6, 8, 9, 1, 5, 2, 5, 3, 3]",25,512,9
110,0,383.0,5176,3.438424416000089,"[0, 6, 5, 5, 4, 3, 3, 2, 9, 7, 6, 8, 0, 6, 9]",25,512,10
111,1,393.0,5178,3.4558117910000874,"[0, 6, 5, 7, 4, 3, 3, 2, 9, 7, 6, 8, 0, 6, 9]",25,512,10
112,2,402.0,5180,3.473159458000282,"[0, 6, 5, 7, 4, 3, 3, 2, 9, 7, 6, 8, 1, 6, 9]",25,512,10
113,4,402.0,5182,3.4917533330003607,"[0, 6, 5, 7, 4, 3, 3, 2, 9, 7, 6, 8, 1, 6, 9]",25,512,10
114,8,402.0,5186,3.51275112500025,"[0, 6, 5, 7, 4, 3, 3, 2, 9, 7, 6, 8, 1, 6, 9]",25,512,10
115,16,427.0,5196,3.5374028330002147,"[3, 6, 5, 7, 4, 3, 3, 2, 9, 8, 6, 8, 1, 6, 9]",25,512,10
116,32,477.0,5217,3.5679684579999957,"[4, 6, 5, 7, 5, 3, 5, 2, 9, 9, 6, 8, 4, 6, 9]",25,512,10
117,64,515.0,5251,3.6120907080003235,"[5, 6, 5, 7, 5, 3, 5, 2, 9, 9, 9, 8, 4, 6, 9]",25,512,10
118,128,515.0,5315,3.6846869160003735,"[5, 6, 5, 7, 5, 3, 5, 2, 9, 9, 9, 8, 4, 6, 9]",25,512,10
