,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,453.0,0,8.308399992529303e-05,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",geometric,1,0.99,0.001,0.9999991649782454,1,8192
1,1,453.0,1,0.002208208999945782,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",geometric,1,0.99,0.001,0.999977807004184,1,8192
2,2,457.0,3,0.003538083999956143,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 6, 5]",geometric,1,0.99,0.001,0.9999644416997339,1,8192
3,4,459.0,6,0.004761459000292234,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 6, 3, 7, 7, 6, 5]",geometric,1,0.99,0.001,0.9999521468828914,1,8192
4,8,459.0,10,0.006006084000091505,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 6, 3, 7, 7, 6, 5]",geometric,1,0.99,0.001,0.9999396386604537,1,8192
5,16,459.0,18,0.0073205839998991,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 6, 3, 7, 7, 6, 5]",geometric,1,0.99,0.001,0.9999264283786817,1,8192
6,32,459.0,34,0.008836875000270084,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 6, 3, 7, 7, 6, 5]",geometric,1,0.99,0.001,0.9999111903821595,1,8192
7,64,459.0,66,0.01080904200034638,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 6, 3, 7, 7, 6, 5]",geometric,1,0.99,0.001,0.9998913713981558,1,8192
8,128,460.0,131,0.014090292000219051,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 6, 3, 7, 7, 7, 5]",geometric,1,0.99,0.001,0.9998583978596535,1,8192
9,256,460.0,259,0.021716959000059433,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 6, 3, 7, 7, 7, 5]",geometric,1,0.99,0.001,0.9997817610859099,1,8192
10,512,460.0,515,0.043563959000039176,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 6, 3, 7, 7, 7, 5]",geometric,1,0.99,0.001,0.999562263415568,1,8192
11,1024,460.0,1027,0.11491166700034228,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 6, 3, 7, 7, 7, 5]",geometric,1,0.99,0.001,0.9988457657944843,1,8192
12,2048,460.0,2051,0.3768260840001858,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 6, 3, 7, 7, 7, 5]",geometric,1,0.99,0.001,0.9962199338031924,1,8192
13,4096,460.0,4099,1.3655290000001514,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 6, 3, 7, 7, 7, 5]",geometric,1,0.99,0.001,0.9863697200209992,1,8192
14,8192,460.0,5127,2.1218079170002966,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 6, 3, 7, 7, 7, 5]",geometric,1,0.99,0.001,0.9789008854470505,1,8192
15,0,453.0,0,4.975000001650187e-05,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",geometric,10,0.99,0.001,9.99999499995916,10,8192
16,1,453.0,1,0.016705999999885535,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",geometric,10,0.99,0.001,9.998321131838017,10,8192
17,2,457.0,3,0.033228457999939565,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 6, 5]",geometric,10,0.99,0.001,9.99666098594693,10,8192
18,4,459.0,6,0.04975229199999376,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 6, 3, 7, 7, 6, 5]",geometric,10,0.99,0.001,9.995000977487068,10,8192
19,8,453.0,11,0.066379749999669,"[6, 3, 6, 4, 6, 9, 2, 6, 7, 6, 3, 7, 7, 6, 5]",geometric,10,0.99,0.001,9.993330837062292,10,8192
20,16,461.0,21,0.08330366699965452,"[6, 3, 6, 6, 6, 9, 2, 6, 7, 4, 3, 7, 7, 6, 5]",geometric,10,0.99,0.001,9.991631205479308,10,8192
21,32,464.0,38,0.09946008299993991,"[6, 4, 6, 6, 6, 9, 2, 6, 7, 4, 3, 7, 7, 6, 5]",geometric,10,0.99,0.001,9.9900089220272,10,8192
22,64,457.0,82,0.11709358300004169,"[6, 5, 6, 6, 5, 9, 4, 8, 2, 8, 3, 6, 7, 9, 5]",geometric,10,0.99,0.001,9.988238623572329,10,8192
23,128,491.0,152,0.13558899999998175,"[6, 5, 7, 6, 5, 9, 6, 6, 2, 8, 4, 6, 7, 9, 6]",geometric,10,0.99,0.001,9.986382130864142,10,8192
24,256,507.0,285,0.1582247080000343,"[8, 5, 7, 6, 6, 9, 6, 6, 2, 7, 4, 6, 7, 8, 6]",geometric,10,0.99,0.001,9.984110522605668,10,8192
25,512,507.0,541,0.19401754199998322,"[8, 5, 7, 6, 6, 9, 6, 6, 2, 7, 4, 6, 7, 8, 6]",geometric,10,0.99,0.001,9.980519584421762,10,8192
26,1024,507.0,1053,0.2802465830000074,"[8, 5, 7, 6, 6, 9, 6, 6, 2, 7, 4, 6, 7, 8, 6]",geometric,10,0.99,0.001,9.971873905373661,10,8192
27,2048,507.0,2077,0.5507733330000519,"[8, 5, 7, 6, 6, 9, 6, 6, 2, 7, 4, 6, 7, 8, 6]",geometric,10,0.99,0.001,9.944798354363215,10,8192
28,4096,507.0,4125,1.5503276249996816,"[8, 5, 7, 6, 6, 9, 6, 6, 2, 7, 4, 6, 7, 8, 6]",geometric,10,0.99,0.001,9.845394473313977,10,8192
29,8192,507.0,5255,2.397445291999702,"[8, 5, 7, 6, 6, 9, 6, 6, 2, 7, 4, 6, 7, 8, 6]",geometric,10,0.99,0.001,9.761928397496893,10,8192
30,0,453.0,0,5.595799984803307e-05,"[6, 3, 7, 4, 6, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",geometric,50,0.99,0.001,49.9999718801733,50,8192
31,1,443.0,2,0.03138020799997321,"[6, 3, 7, 4, 1, 9, 2, 6, 7, 4, 3, 7, 7, 2, 5]",geometric,50,0.99,0.001,49.984233404900294,50,8192
32,2,447.0,4,0.06318754199992327,"[6, 3, 7, 4, 1, 9, 2, 6, 7, 4, 3, 7, 7, 6, 5]",geometric,50,0.99,0.001,49.96825727932689,50,8192
