,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,1063.0,150,0.0023459590001948527,"[6, 3, 12, 14, 10, 7, 12, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 13, 5, 1, 11, 4]",150,0.4,2048
1,1,1494.0,302,0.007856084000195551,"[7, 12, 12, 1, 13, 14, 6, 13, 3, 12, 13, 3, 12, 11, 4, 12, 10, 0, 11, 14, 14, 9, 10, 9, 6, 9, 3, 4, 0, 13]",150,0.4,2048
2,2,1495.0,454,0.012575959000059811,"[0, 12, 4, 5, 2, 14, 12, 10, 14, 12, 13, 0, 13, 13, 14, 10, 5, 7, 13, 13, 0, 7, 4, 4, 14, 10, 3, 5, 0, 13]",150,0.4,2048
3,4,1548.0,757,0.0209598340006778,"[0, 11, 5, 5, 9, 11, 9, 1, 7, 10, 11, 12, 13, 10, 14, 9, 13, 7, 13, 13, 8, 0, 3, 8, 13, 10, 2, 7, 4, 12]",150,0.4,2048
4,8,1610.0,1363,0.03480887500063545,"[2, 11, 5, 5, 12, 14, 10, 2, 8, 11, 9, 9, 13, 6, 14, 13, 8, 13, 13, 13, 11, 0, 8, 12, 2, 12, 11, 0, 0, 13]",150,0.4,2048
5,16,1705.0,2575,0.061084917000698624,"[2, 11, 5, 13, 14, 13, 12, 2, 1, 12, 7, 11, 2, 11, 13, 9, 13, 14, 12, 13, 4, 9, 12, 13, 13, 10, 1, 12, 1, 14]",150,0.4,2048
6,32,1771.0,4995,0.11248541700024361,"[0, 14, 4, 13, 11, 13, 14, 4, 1, 14, 13, 11, 12, 8, 2, 9, 14, 12, 13, 14, 4, 9, 13, 12, 13, 13, 1, 4, 0, 14]",150,0.4,2048
7,64,1849.0,9836,0.2120977499998844,"[0, 14, 2, 13, 13, 13, 14, 2, 0, 13, 13, 12, 13, 11, 13, 12, 14, 14, 13, 14, 4, 0, 14, 14, 13, 12, 1, 0, 1, 14]",150,0.4,2048
8,128,1876.0,19508,0.40905504200054565,"[0, 14, 0, 13, 14, 14, 14, 2, 0, 14, 14, 12, 13, 13, 14, 12, 14, 14, 13, 14, 2, 1, 14, 14, 14, 13, 0, 0, 0, 14]",150,0.4,2048
9,256,1882.0,38839,0.806790584000737,"[0, 14, 0, 13, 14, 14, 14, 2, 0, 14, 14, 12, 13, 13, 13, 12, 14, 14, 14, 14, 2, 0, 14, 14, 14, 14, 0, 0, 0, 14]",150,0.4,2048
10,512,1882.0,77495,1.5970980420006526,"[0, 14, 0, 13, 14, 14, 14, 2, 0, 14, 14, 12, 13, 13, 13, 12, 14, 14, 14, 14, 2, 0, 14, 14, 14, 14, 0, 0, 0, 14]",150,0.4,2048
11,1024,1882.0,154807,3.2049102500004665,"[0, 14, 0, 13, 14, 14, 14, 2, 0, 14, 14, 12, 13, 13, 13, 12, 14, 14, 14, 14, 2, 0, 14, 14, 14, 14, 0, 0, 0, 14]",150,0.4,2048
12,2048,1882.0,171870,3.5699896670003,"[0, 14, 0, 13, 14, 14, 14, 2, 0, 14, 14, 12, 13, 13, 13, 12, 14, 14, 14, 14, 2, 0, 14, 14, 14, 14, 0, 0, 0, 14]",150,0.4,2048
13,0,1063.0,150,0.0013514579995899112,"[6, 3, 12, 14, 10, 7, 12, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 13, 5, 1, 11, 4]",150,0.5,2048
14,1,1549.0,302,0.009112124999774096,"[3, 0, 7, 13, 4, 14, 5, 6, 11, 11, 10, 12, 8, 14, 5, 11, 9, 9, 14, 13, 8, 5, 13, 9, 7, 11, 0, 9, 5, 14]",150,0.5,2048
15,2,1549.0,453,0.016832833000080427,"[3, 0, 7, 13, 4, 14, 5, 6, 11, 11, 10, 12, 8, 14, 5, 11, 9, 9, 14, 13, 8, 5, 13, 9, 7, 11, 0, 9, 5, 14]",150,0.5,2048
16,4,1621.0,757,0.027661707999868668,"[7, 14, 3, 10, 4, 14, 6, 14, 3, 13, 8, 12, 10, 7, 9, 12, 14, 7, 11, 10, 0, 9, 10, 13, 8, 11, 0, 4, 13, 13]",150,0.5,2048
17,8,1621.0,1361,0.04457749999983207,"[7, 14, 3, 10, 4, 14, 6, 14, 3, 13, 8, 12, 10, 7, 9, 12, 14, 7, 11, 10, 0, 9, 10, 13, 8, 11, 0, 4, 13, 13]",150,0.5,2048
18,16,1699.0,2572,0.07360870799948316,"[5, 12, 6, 13, 10, 14, 11, 7, 4, 13, 14, 9, 9, 14, 9, 10, 13, 9, 13, 13, 5, 0, 6, 14, 13, 12, 0, 10, 11, 6]",150,0.5,2048
19,32,1756.0,4991,0.1279887079999753,"[6, 14, 5, 12, 10, 14, 11, 6, 4, 13, 3, 12, 8, 14, 13, 13, 14, 12, 14, 13, 6, 0, 12, 14, 8, 11, 0, 1, 5, 14]",150,0.5,2048
20,64,1845.0,9833,0.23128791700037254,"[5, 14, 5, 14, 12, 14, 14, 6, 0, 13, 14, 12, 12, 14, 11, 13, 13, 14, 14, 14, 0, 0, 14, 14, 14, 13, 0, 1, 5, 6]",150,0.5,2048
21,128,1884.0,19510,0.4320720830000937,"[0, 14, 1, 14, 14, 14, 14, 1, 0, 14, 14, 13, 11, 14, 13, 13, 13, 14, 14, 14, 0, 0, 14, 14, 14, 13, 0, 0, 3, 14]",150,0.5,2048
22,256,1891.0,38840,0.8295429999998305,"[0, 14, 1, 14, 14, 14, 14, 0, 0, 14, 14, 13, 13, 14, 13, 13, 14, 14, 14, 14, 0, 0, 14, 14, 14, 13, 0, 0, 1, 14]",150,0.5,2048
23,512,1891.0,77496,1.626699207999991,"[0, 14, 1, 14, 14, 14, 14, 0, 0, 14, 14, 13, 13, 14, 13, 13, 14, 14, 14, 14, 0, 0, 14, 14, 14, 13, 0, 0, 1, 14]",150,0.5,2048
24,1024,1891.0,154808,3.2516450000002806,"[0, 14, 1, 14, 14, 14, 14, 0, 0, 14, 14, 13, 13, 14, 13, 13, 14, 14, 14, 14, 0, 0, 14, 14, 14, 13, 0, 0, 1, 14]",150,0.5,2048
25,2048,1891.0,171267,3.612092207999922,"[0, 14, 1, 14, 14, 14, 14, 0, 0, 14, 14, 13, 13, 14, 13, 13, 14, 14, 14, 14, 0, 0, 14, 14, 14, 13, 0, 0, 1, 14]",150,0.5,2048
26,0,1063.0,150,0.0013774579992968938,"[6, 3, 12, 14, 10, 7, 12, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 13, 5, 1, 11, 4]",150,0.6,2048
27,1,1477.0,302,0.013064791999568115,"[6, 12, 12, 1, 2, 10, 6, 13, 3, 12, 13, 0, 12, 13, 4, 11, 8, 7, 11, 14, 8, 9, 13, 8, 14, 6, 3, 4, 0, 13]",150,0.6,2048
28,2,1503.0,454,0.024564249999457388,"[6, 10, 12, 14, 11, 2, 6, 13, 3, 12, 13, 0, 12, 12, 4, 9, 8, 7, 10, 14, 14, 9, 5, 8, 12, 14, 3, 4, 7, 13]",150,0.6,2048
29,4,1581.0,757,0.03898520799975813,"[5, 14, 11, 7, 14, 12, 14, 1, 5, 11, 1, 12, 13, 4, 13, 14, 14, 7, 12, 13, 11, 2, 13, 7, 4, 12, 1, 14, 0, 5]",150,0.6,2048
30,8,1600.0,1364,0.05967095799951494,"[3, 12, 5, 13, 14, 6, 8, 13, 12, 13, 2, 8, 1, 5, 14, 14, 14, 9, 11, 12, 6, 9, 12, 14, 13, 13, 2, 1, 10, 8]",150,0.6,2048
31,16,1726.0,2576,0.09284775000014633,"[0, 12, 7, 14, 14, 14, 9, 2, 0, 14, 7, 12, 10, 13, 2, 10, 13, 13, 10, 11, 1, 2, 12, 14, 13, 14, 0, 12, 12, 13]",150,0.6,2048
32,32,1798.0,4996,0.15040345799934585,"[2, 14, 2, 13, 14, 13, 8, 3, 2, 14, 11, 12, 1, 9, 14, 14, 14, 13, 14, 14, 1, 2, 11, 14, 14, 14, 0, 6, 12, 12]",150,0.6,2048
33,64,1861.0,9836,0.255696624999473,"[2, 14, 2, 14, 14, 14, 11, 6, 0, 13, 14, 12, 11, 12, 14, 14, 14, 13, 14, 14, 0, 2, 12, 14, 13, 14, 0, 0, 1, 12]",150,0.6,2048
34,128,1889.0,19507,0.46094266699947184,"[0, 14, 1, 14, 14, 14, 14, 2, 0, 14, 14, 12, 11, 13, 14, 14, 14, 14, 14, 14, 1, 1, 14, 14, 14, 14, 0, 0, 0, 13]",150,0.6,2048
35,256,1889.0,38835,0.8683334170000307,"[0, 14, 1, 14, 14, 14, 14, 2, 0, 14, 14, 12, 11, 13, 14, 14, 14, 14, 14, 14, 1, 1, 14, 14, 14, 14, 0, 0, 0, 13]",150,0.6,2048
36,512,1889.0,77491,1.6720860830000674,"[0, 14, 1, 14, 14, 14, 14, 2, 0, 14, 14, 12, 11, 13, 14, 14, 14, 14, 14, 14, 1, 1, 14, 14, 14, 14, 0, 0, 0, 13]",150,0.6,2048
37,1024,1889.0,154803,3.306067874999826,"[0, 14, 1, 14, 14, 14, 14, 2, 0, 14, 14, 12, 11, 13, 14, 14, 14, 14, 14, 14, 1, 1, 14, 14, 14, 14, 0, 0, 0, 13]",150,0.6,2048
38,2048,1889.0,166883,3.5768376669993813,"[0, 14, 1, 14, 14, 14, 14, 2, 0, 14, 14, 12, 11, 13, 14, 14, 14, 14, 14, 14, 1, 1, 14, 14, 14, 14, 0, 0, 0, 13]",150,0.6,2048
