,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,1746.068052446119,150,0.004774833000283252,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 4, 7, 10, 3, 6]",150,0.4,2048
1,1,1183.7763933598171,302,0.01384787500001039,"[11, 1, 3, 10, 6, 0, 9, 7, 12, 8, 2, 5, 4, 13]",150,0.4,2048
2,2,1060.2512400665537,454,0.023850749999837717,"[13, 11, 1, 8, 9, 2, 7, 3, 5, 4, 12, 0, 6, 10]",150,0.4,2048
3,4,1058.6554070393383,757,0.03825087499990332,"[2, 7, 3, 5, 4, 1, 11, 10, 6, 0, 9, 12, 8, 13]",150,0.4,2048
4,8,893.0742887573457,1363,0.06521333299997423,"[2, 7, 3, 5, 4, 1, 11, 10, 6, 13, 0, 9, 8, 12]",150,0.4,2048
5,16,846.9686489556889,2572,0.1159105830001863,"[8, 7, 3, 5, 4, 1, 11, 10, 6, 13, 0, 9, 2, 12]",150,0.4,2048
6,32,806.1002909126795,4994,0.21659212500026115,"[8, 12, 7, 3, 5, 4, 1, 6, 10, 11, 13, 2, 0, 9]",150,0.4,2048
7,64,785.893319424116,9830,0.4337042500001189,"[2, 0, 8, 12, 7, 3, 5, 4, 1, 13, 11, 10, 6, 9]",150,0.4,2048
8,128,744.5670404995033,19497,0.826836749999984,"[2, 0, 8, 12, 7, 3, 5, 4, 10, 11, 6, 13, 1, 9]",150,0.4,2048
9,256,744.5670404995033,38825,1.6012394170002153,"[2, 0, 8, 12, 7, 3, 5, 4, 10, 11, 6, 13, 1, 9]",150,0.4,2048
10,512,744.5670404995033,77481,3.1390396249998958,"[2, 0, 8, 12, 7, 3, 5, 4, 10, 11, 6, 13, 1, 9]",150,0.4,2048
11,1024,744.5670404995033,154793,6.291159792000144,"[2, 0, 8, 12, 7, 3, 5, 4, 10, 11, 6, 13, 1, 9]",150,0.4,2048
12,2048,744.5670404995033,170497,7.016451792000225,"[2, 0, 8, 12, 7, 3, 5, 4, 10, 11, 6, 13, 1, 9]",150,0.4,2048
13,0,1746.068052446119,150,0.0019478750000416767,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 4, 7, 10, 3, 6]",150,0.5,2048
14,1,1154.4156657177293,302,0.014430416999857698,"[10, 11, 4, 5, 1, 0, 7, 8, 3, 2, 12, 9, 13, 6]",150,0.5,2048
15,2,1060.2512400665537,454,0.02567933299997094,"[13, 11, 1, 8, 9, 2, 7, 3, 5, 4, 12, 0, 6, 10]",150,0.5,2048
16,4,1060.2512400665537,756,0.04284212499987916,"[13, 11, 1, 8, 9, 2, 7, 3, 5, 4, 12, 0, 6, 10]",150,0.5,2048
17,8,923.8750230311173,1363,0.0723104579997198,"[13, 11, 1, 9, 12, 8, 7, 0, 2, 3, 5, 4, 6, 10]",150,0.5,2048
18,16,834.2116146963541,2574,0.12663437499986685,"[1, 13, 11, 10, 6, 9, 0, 3, 7, 12, 8, 2, 5, 4]",150,0.5,2048
19,32,806.1002909126794,4992,0.22804591700014498,"[12, 7, 3, 5, 4, 1, 6, 10, 11, 13, 2, 0, 9, 8]",150,0.5,2048
20,64,785.8933194241162,9828,0.4245871250000164,"[12, 7, 3, 5, 4, 1, 13, 11, 10, 6, 9, 2, 0, 8]",150,0.5,2048
21,128,755.6127650312164,19495,0.8120880000001307,"[8, 12, 7, 3, 5, 4, 10, 11, 13, 6, 1, 9, 2, 0]",150,0.5,2048
22,256,744.5670404995032,38825,1.583900167000138,"[0, 8, 12, 7, 3, 5, 4, 10, 11, 6, 13, 1, 9, 2]",150,0.5,2048
23,512,744.5670404995032,77481,3.124490666999918,"[0, 8, 12, 7, 3, 5, 4, 10, 11, 6, 13, 1, 9, 2]",150,0.5,2048
24,1024,744.5670404995032,154793,6.2482799579997845,"[0, 8, 12, 7, 3, 5, 4, 10, 11, 6, 13, 1, 9, 2]",150,0.5,2048
25,2048,744.5670404995032,181520,7.3413862500001414,"[0, 8, 12, 7, 3, 5, 4, 10, 11, 6, 13, 1, 9, 2]",150,0.5,2048
26,0,1746.068052446119,150,0.001892917000077432,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 4, 7, 10, 3, 6]",150,0.6,2048
27,1,1154.4156657177293,302,0.017293750000135333,"[10, 11, 4, 5, 1, 0, 7, 8, 3, 2, 12, 9, 13, 6]",150,0.6,2048
28,2,1154.4156657177293,453,0.03254483299997446,"[10, 11, 4, 5, 1, 0, 7, 8, 3, 2, 12, 9, 13, 6]",150,0.6,2048
29,4,1053.863104716601,756,0.05392912499974045,"[2, 12, 8, 1, 13, 10, 11, 6, 9, 4, 7, 0, 3, 5]",150,0.6,2048
30,8,964.4576720559652,1364,0.08719262499971592,"[1, 13, 10, 11, 4, 5, 2, 3, 12, 7, 8, 9, 0, 6]",150,0.6,2048
31,16,872.6278426004108,2573,0.14488295799992557,"[2, 7, 3, 5, 4, 10, 11, 1, 6, 13, 9, 12, 8, 0]",150,0.6,2048
32,32,812.4607299963135,4992,0.25005366699997467,"[1, 13, 11, 6, 10, 4, 5, 2, 0, 8, 12, 7, 3, 9]",150,0.6,2048
33,64,767.0401067558657,9831,0.4538175829998181,"[1, 13, 6, 11, 10, 4, 2, 5, 3, 7, 12, 8, 0, 9]",150,0.6,2048
34,128,767.0401067558657,19495,0.8434163329998228,"[1, 13, 6, 11, 10, 4, 2, 5, 3, 7, 12, 8, 0, 9]",150,0.6,2048
35,256,744.5670404995034,38825,1.6260847499997908,"[2, 9, 1, 13, 6, 11, 10, 4, 5, 3, 7, 12, 8, 0]",150,0.6,2048
36,512,744.5670404995034,77481,3.2065719170000193,"[2, 9, 1, 13, 6, 11, 10, 4, 5, 3, 7, 12, 8, 0]",150,0.6,2048
37,1024,744.5670404995033,154794,6.355006457999934,"[12, 8, 0, 2, 9, 1, 13, 6, 11, 10, 4, 5, 3, 7]",150,0.6,2048
38,2048,744.5670404995033,271819,11.32186829200009,"[12, 8, 0, 2, 9, 1, 13, 6, 11, 10, 4, 5, 3, 7]",150,0.6,2048
39,0,1746.068052446119,200,0.0025139999997918494,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 4, 7, 10, 3, 6]",200,0.4,2048
40,1,1021.5980008124369,402,0.02659670899993216,"[2, 7, 3, 5, 4, 1, 0, 8, 12, 9, 6, 11, 10, 13]",200,0.4,2048
41,2,1021.5980008124369,603,0.050986624999950436,"[2, 7, 3, 5, 4, 1, 0, 8, 12, 9, 6, 11, 10, 13]",200,0.4,2048
42,4,1016.418109385042,1006,0.08336195899983068,"[10, 11, 4, 5, 9, 2, 7, 3, 0, 8, 12, 6, 13, 1]",200,0.4,2048
43,8,885.7455691219686,1813,0.13237374999971507,"[0, 2, 7, 12, 8, 3, 5, 4, 1, 10, 11, 6, 13, 9]",200,0.4,2048
44,16,877.0569706574711,3423,0.21304324999982782,"[1, 6, 4, 0, 9, 12, 8, 7, 3, 5, 2, 10, 11, 13]",200,0.4,2048
45,32,806.7896060104163,6645,0.3602387920000183,"[13, 6, 1, 9, 3, 7, 12, 8, 0, 2, 5, 4, 10, 11]",200,0.4,2048
46,64,789.6980465049966,13080,0.6339743339999586,"[6, 13, 1, 9, 2, 5, 3, 7, 12, 8, 0, 4, 10, 11]",200,0.4,2048
47,128,789.6980465049965,25945,1.1626330839999355,"[11, 6, 13, 1, 9, 2, 5, 3, 7, 12, 8, 0, 4, 10]",200,0.4,2048
48,256,789.6980465049965,51673,2.20952566699998,"[11, 6, 13, 1, 9, 2, 5, 3, 7, 12, 8, 0, 4, 10]",200,0.4,2048
49,512,789.6980465049965,103129,4.293888374999824,"[11, 6, 13, 1, 9, 2, 5, 3, 7, 12, 8, 0, 4, 10]",200,0.4,2048
50,1024,744.5670404995033,206046,8.48140258400008,"[11, 6, 13, 1, 9, 2, 0, 8, 12, 7, 3, 5, 4, 10]",200,0.4,2048
51,2048,744.5670404995033,357801,14.759541459000047,"[11, 6, 13, 1, 9, 2, 0, 8, 12, 7, 3, 5, 4, 10]",200,0.4,2048
52,0,1746.068052446119,200,0.002491249999820866,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 4, 7, 10, 3, 6]",200,0.5,2048
53,1,1085.0899089484255,402,0.03379799999993338,"[10, 1, 0, 7, 12, 8, 9, 2, 5, 3, 6, 4, 13, 11]",200,0.5,2048
54,2,978.5980990146851,604,0.06611066699997536,"[2, 8, 12, 9, 13, 6, 11, 1, 10, 4, 5, 0, 7, 3]",200,0.5,2048
55,4,978.5980990146851,1006,0.10609587499993722,"[2, 8, 12, 9, 13, 6, 11, 1, 10, 4, 5, 0, 7, 3]",200,0.5,2048
56,8,874.9852581691113,1812,0.16317291699988345,"[2, 8, 12, 7, 3, 4, 5, 9, 6, 10, 11, 13, 1, 0]",200,0.5,2048
57,16,874.9852581691113,3420,0.25161408299982213,"[2, 8, 12, 7, 3, 4, 5, 9, 6, 10, 11, 13, 1, 0]",200,0.5,2048
58,32,796.8184313528258,6640,0.42478412499986007,"[6, 4, 5, 2, 3, 7, 8, 12, 0, 9, 1, 13, 11, 10]",200,0.5,2048
59,64,780.8638402125274,13076,0.7096052920001057,"[10, 4, 5, 2, 3, 7, 8, 12, 0, 9, 1, 13, 6, 11]",200,0.5,2048
60,128,744.6912136947509,25943,1.2565355000001546,"[13, 6, 11, 10, 4, 5, 3, 7, 12, 8, 2, 0, 9, 1]",200,0.5,2048
61,256,744.5670404995033,51672,2.327964707999854,"[13, 6, 11, 10, 4, 5, 3, 7, 12, 8, 0, 2, 9, 1]",200,0.5,2048
62,512,744.5670404995033,103128,4.464089582999804,"[13, 6, 11, 10, 4, 5, 3, 7, 12, 8, 0, 2, 9, 1]",200,0.5,2048
63,1024,744.5670404995033,206040,8.654400041999907,"[13, 6, 11, 10, 4, 5, 3, 7, 12, 8, 0, 2, 9, 1]",200,0.5,2048
64,2048,744.5670404995033,231165,9.768376167000042,"[13, 6, 11, 10, 4, 5, 3, 7, 12, 8, 0, 2, 9, 1]",200,0.5,2048
65,0,1746.068052446119,200,0.0028186660001665587,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 4, 7, 10, 3, 6]",200,0.6,2048
66,1,1046.2972864447215,402,0.03916620800009696,"[13, 6, 9, 12, 0, 5, 2, 7, 3, 8, 4, 10, 11, 1]",200,0.6,2048
67,2,971.614658896551,604,0.07579124999983833,"[13, 6, 10, 1, 0, 7, 12, 8, 9, 2, 5, 3, 4, 11]",200,0.6,2048
68,4,959.0852310990721,1007,0.1202896250001686,"[6, 4, 5, 3, 12, 7, 2, 8, 0, 9, 13, 1, 11, 10]",200,0.6,2048
69,8,895.0802185367663,1813,0.18211645800010956,"[10, 13, 1, 9, 8, 12, 3, 7, 0, 2, 4, 5, 6, 11]",200,0.6,2048
70,16,842.1635516254619,3423,0.27827062500000466,"[10, 13, 1, 9, 8, 12, 3, 7, 0, 2, 5, 4, 6, 11]",200,0.6,2048
71,32,790.116509470353,6642,0.4358487499998773,"[10, 11, 13, 6, 1, 9, 8, 12, 7, 3, 0, 2, 5, 4]",200,0.6,2048
72,64,744.5670404995034,13077,0.7347322079999685,"[10, 11, 6, 13, 1, 9, 2, 0, 8, 12, 7, 3, 5, 4]",200,0.6,2048
73,128,744.5670404995034,25941,1.3044338750000861,"[10, 11, 6, 13, 1, 9, 2, 0, 8, 12, 7, 3, 5, 4]",200,0.6,2048
74,256,744.5670404995034,51669,2.4055562909998116,"[10, 11, 6, 13, 1, 9, 2, 0, 8, 12, 7, 3, 5, 4]",200,0.6,2048
75,512,744.5670404995033,103126,4.578104749999966,"[5, 4, 10, 11, 6, 13, 1, 9, 2, 0, 8, 12, 7, 3]",200,0.6,2048
76,1024,744.5670404995033,206038,8.86848929100006,"[5, 4, 10, 11, 6, 13, 1, 9, 2, 0, 8, 12, 7, 3]",200,0.6,2048
77,2048,744.5670404995033,257293,11.102220791000036,"[5, 4, 10, 11, 6, 13, 1, 9, 2, 0, 8, 12, 7, 3]",200,0.6,2048
78,0,1746.068052446119,300,0.0038043340000513126,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 4, 7, 10, 3, 6]",300,0.4,2048
79,1,1093.090369039474,602,0.046576834000006784,"[12, 8, 3, 7, 0, 9, 13, 11, 10, 5, 2, 6, 1, 4]",300,0.4,2048
80,2,1078.8518945540402,904,0.08969099999967511,"[13, 6, 9, 5, 12, 0, 7, 3, 8, 2, 4, 1, 11, 10]",300,0.4,2048
81,4,965.2397289074656,1508,0.14410912499988626,"[2, 12, 7, 8, 9, 0, 3, 5, 4, 1, 10, 11, 6, 13]",300,0.4,2048
82,8,934.8973020772556,2714,0.22312466699986544,"[3, 12, 8, 7, 0, 9, 13, 11, 10, 1, 6, 4, 5, 2]",300,0.4,2048
83,16,882.9227429596507,5125,0.3574201669998729,"[13, 4, 5, 2, 8, 12, 7, 3, 9, 0, 1, 11, 10, 6]",300,0.4,2048
84,32,771.7459306489174,9947,0.5953217920000498,"[13, 1, 2, 9, 0, 8, 12, 7, 3, 5, 4, 10, 11, 6]",300,0.4,2048
85,64,744.5670404995033,19582,1.0455261669999345,"[13, 1, 9, 2, 0, 8, 12, 7, 3, 5, 4, 10, 11, 6]",300,0.4,2048
86,128,744.5670404995033,38846,1.857993291999719,"[13, 1, 9, 2, 0, 8, 12, 7, 3, 5, 4, 10, 11, 6]",300,0.4,2048
87,256,744.5670404995033,77374,3.4861365839997234,"[13, 1, 9, 2, 0, 8, 12, 7, 3, 5, 4, 10, 11, 6]",300,0.4,2048
88,512,744.5670404995033,154430,6.790670459000012,"[13, 1, 9, 2, 0, 8, 12, 7, 3, 5, 4, 10, 11, 6]",300,0.4,2048
89,1024,744.5670404995033,308542,13.258926958999837,"[13, 1, 9, 2, 0, 8, 12, 7, 3, 5, 4, 10, 11, 6]",300,0.4,2048
90,2048,744.5670404995033,313358,13.498330417000034,"[13, 1, 9, 2, 0, 8, 12, 7, 3, 5, 4, 10, 11, 6]",300,0.4,2048
91,0,1746.068052446119,300,0.003908708999915689,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 4, 7, 10, 3, 6]",300,0.5,2048
92,1,1093.090369039474,602,0.052560499999799504,"[12, 8, 3, 7, 0, 9, 13, 11, 10, 5, 2, 6, 1, 4]",300,0.5,2048
93,2,1058.688823500234,904,0.09901112499983356,"[2, 7, 3, 5, 11, 10, 6, 13, 1, 8, 4, 9, 0, 12]",300,0.5,2048
94,4,941.3276840921162,1508,0.1575093750002452,"[12, 8, 3, 7, 2, 5, 11, 10, 6, 13, 1, 4, 9, 0]",300,0.5,2048
95,8,874.819591528995,2713,0.24503962500011767,"[5, 2, 8, 12, 3, 7, 0, 9, 13, 11, 10, 6, 1, 4]",300,0.5,2048
96,16,841.7061598218904,5122,0.37819741700013765,"[5, 2, 8, 12, 3, 7, 0, 9, 1, 13, 11, 10, 6, 4]",300,0.5,2048
97,32,767.0401067558656,9943,0.6093554590001986,"[2, 5, 3, 7, 12, 8, 0, 9, 1, 13, 6, 11, 10, 4]",300,0.5,2048
98,64,744.5670404995033,19577,1.0342347920000066,"[4, 5, 3, 7, 12, 8, 0, 2, 9, 1, 13, 6, 11, 10]",300,0.5,2048
99,128,744.5670404995033,38841,1.8585822499999267,"[4, 5, 3, 7, 12, 8, 0, 2, 9, 1, 13, 6, 11, 10]",300,0.5,2048
100,256,744.5670404995033,77369,3.466901667000002,"[4, 5, 3, 7, 12, 8, 0, 2, 9, 1, 13, 6, 11, 10]",300,0.5,2048
101,512,744.5670404995032,154426,6.656426833999831,"[11, 10, 4, 5, 3, 7, 12, 8, 0, 2, 9, 1, 13, 6]",300,0.5,2048
102,1024,744.5670404995032,308538,13.006181708999975,"[11, 10, 4, 5, 3, 7, 12, 8, 0, 2, 9, 1, 13, 6]",300,0.5,2048
103,2048,744.5670404995032,390410,16.451813708999907,"[11, 10, 4, 5, 3, 7, 12, 8, 0, 2, 9, 1, 13, 6]",300,0.5,2048
104,0,1746.068052446119,300,0.0038204590000532335,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 4, 7, 10, 3, 6]",300,0.6,2048
105,1,1101.7013429469655,602,0.05453179200003433,"[5, 12, 0, 7, 3, 9, 8, 2, 4, 1, 11, 10, 13, 6]",300,0.6,2048
106,2,1062.7411327817802,904,0.10762562500030981,"[11, 8, 12, 0, 7, 3, 9, 5, 2, 4, 1, 10, 13, 6]",300,0.6,2048
107,4,1001.4054732881126,1508,0.17519512500030032,"[3, 7, 12, 8, 5, 4, 9, 0, 10, 1, 6, 11, 13, 2]",300,0.6,2048
108,8,918.2964762844961,2715,0.2711805420003657,"[5, 12, 8, 7, 3, 9, 0, 2, 4, 10, 11, 1, 13, 6]",300,0.6,2048
109,16,886.4680963445147,5124,0.4147777500002121,"[8, 7, 3, 5, 4, 2, 1, 11, 13, 6, 10, 9, 0, 12]",300,0.6,2048
110,32,790.702968111712,9947,0.653294334000293,"[1, 13, 11, 10, 4, 5, 3, 7, 12, 8, 9, 0, 2, 6]",300,0.6,2048
111,64,744.5670404995034,19584,1.0874577090003186,"[1, 13, 6, 11, 10, 4, 5, 3, 7, 12, 8, 0, 2, 9]",300,0.6,2048
112,128,744.5670404995033,38849,1.9154186670002673,"[9, 1, 13, 6, 11, 10, 4, 5, 3, 7, 12, 8, 0, 2]",300,0.6,2048
113,256,744.5670404995033,77377,3.540682709000066,"[9, 1, 13, 6, 11, 10, 4, 5, 3, 7, 12, 8, 0, 2]",300,0.6,2048
114,512,744.5670404995033,154433,6.728053917000125,"[9, 1, 13, 6, 11, 10, 4, 5, 3, 7, 12, 8, 0, 2]",300,0.6,2048
115,1024,744.5670404995033,308545,13.128891459000442,"[9, 1, 13, 6, 11, 10, 4, 5, 3, 7, 12, 8, 0, 2]",300,0.6,2048
116,2048,744.5670404995033,322090,13.73413950000031,"[9, 1, 13, 6, 11, 10, 4, 5, 3, 7, 12, 8, 0, 2]",300,0.6,2048
