,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,1746.068052446119,0,0.0006355420000545564,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 4, 7, 10, 3, 6]",geometric,1,0.99,0.001,0.9999936126098499,1,8192
1,1,1621.3450189202163,2,0.0035488339999574237,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 10, 7, 4, 3, 6]",geometric,1,0.99,0.001,0.9999643336624711,1,8192
2,2,1621.3450189202163,3,0.005220042000019021,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 10, 7, 4, 3, 6]",geometric,1,0.99,0.001,0.9999475382008988,1,8192
3,4,1607.8671275599002,6,0.006611249999878055,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 10, 3, 4, 7, 6]",geometric,1,0.99,0.001,0.9999335569245287,1,8192
4,8,1608.4103743442531,11,0.00871291699968424,"[9, 6, 0, 12, 5, 8, 2, 1, 13, 10, 3, 4, 7, 11]",geometric,1,0.99,0.001,0.9999124360918323,1,8192
5,16,1264.540579993206,24,0.010759999999663705,"[9, 7, 5, 12, 0, 2, 8, 1, 13, 4, 3, 10, 11, 6]",geometric,1,0.99,0.001,0.9998918642333132,1,8192
6,32,1195.988361371136,43,0.013986958999794297,"[9, 4, 5, 12, 7, 2, 0, 1, 13, 8, 3, 10, 11, 6]",geometric,1,0.99,0.001,0.9998594362444935,1,8192
7,64,1114.6845144656731,78,0.0165518339999835,"[9, 0, 5, 12, 7, 3, 4, 13, 1, 8, 2, 10, 11, 6]",geometric,1,0.99,0.001,0.9998336623449507,1,8192
8,128,951.9560695522322,147,0.020534959000087838,"[2, 0, 5, 3, 7, 12, 8, 13, 1, 4, 10, 6, 11, 9]",geometric,1,0.99,0.001,0.999793638060866,1,8192
9,256,781.3005814400582,279,0.029183708999880764,"[2, 0, 5, 3, 7, 12, 8, 9, 1, 13, 6, 11, 10, 4]",geometric,1,0.99,0.001,0.9997067369331226,1,8192
10,512,776.0076688671427,536,0.057852749999710795,"[0, 2, 5, 3, 7, 12, 8, 9, 1, 13, 6, 11, 10, 4]",geometric,1,0.99,0.001,0.999418729435683,1,8192
11,1024,776.0076688671427,1048,0.13675733399986711,"[0, 2, 5, 3, 7, 12, 8, 9, 1, 13, 6, 11, 10, 4]",geometric,1,0.99,0.001,0.9986264869964762,1,8192
12,2048,776.0076688671427,2072,0.4054524999996829,"[0, 2, 5, 3, 7, 12, 8, 9, 1, 13, 6, 11, 10, 4]",geometric,1,0.99,0.001,0.995933357479131,1,8192
13,4096,776.0076688671427,4120,1.4267710419999275,"[0, 2, 5, 3, 7, 12, 8, 9, 1, 13, 6, 11, 10, 4]",geometric,1,0.99,0.001,0.9857627932118224,1,8192
14,8192,776.0076688671427,5352,2.367930500000057,"[0, 2, 5, 3, 7, 12, 8, 9, 1, 13, 6, 11, 10, 4]",geometric,1,0.99,0.001,0.9764824542715134,1,8192
15,0,1746.068052446119,0,7.054099978631712e-05,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 4, 7, 10, 3, 6]",geometric,10,0.99,0.001,9.99999291039512,10,8192
16,1,1621.3450189202163,2,0.01887699999997494,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 10, 7, 4, 3, 6]",geometric,10,0.99,0.001,9.99810297805831,10,8192
17,2,1622.4721454465252,4,0.03785745799996221,"[9, 6, 0, 12, 5, 8, 2, 1, 13, 10, 7, 4, 3, 11]",geometric,10,0.99,0.001,9.996195922059403,10,8192
18,4,1608.4103743442531,7,0.057579249999889726,"[9, 6, 0, 12, 5, 8, 2, 1, 13, 10, 3, 4, 7, 11]",geometric,10,0.99,0.001,9.994214766085355,10,8192
19,8,1205.4130035306903,14,0.07665349999979298,"[9, 11, 0, 2, 5, 8, 12, 1, 13, 10, 6, 4, 7, 3]",geometric,10,0.99,0.001,9.992299032574753,10,8192
20,16,1175.4471873308962,23,0.09635866600001464,"[9, 10, 0, 2, 5, 8, 12, 1, 13, 11, 6, 4, 7, 3]",geometric,10,0.99,0.001,9.990320318280316,10,8192
21,32,1103.6871852028398,42,0.11564624999982698,"[9, 12, 0, 2, 7, 8, 10, 1, 13, 11, 6, 4, 3, 5]",geometric,10,0.99,0.001,9.988383915373356,10,8192
22,64,995.4337986784055,80,0.13586816599990925,"[9, 2, 0, 3, 7, 4, 10, 11, 13, 6, 1, 12, 8, 5]",geometric,10,0.99,0.001,9.986354111990687,10,8192
23,128,906.3952037080375,147,0.15779491600005713,"[5, 2, 0, 3, 7, 4, 10, 11, 6, 13, 1, 9, 8, 12]",geometric,10,0.99,0.001,9.984153649602828,10,8192
24,256,779.0707849386398,277,0.18330891599998722,"[7, 3, 0, 2, 5, 4, 10, 11, 6, 13, 1, 9, 8, 12]",geometric,10,0.99,0.001,9.981593798519988,10,8192
25,512,776.0076688671426,534,0.2239207500001612,"[7, 3, 5, 2, 0, 4, 10, 11, 6, 13, 1, 9, 8, 12]",geometric,10,0.99,0.001,9.977520516866335,10,8192
26,1024,776.0076688671426,1046,0.315981040999759,"[7, 3, 5, 2, 0, 4, 10, 11, 6, 13, 1, 9, 8, 12]",geometric,10,0.99,0.001,9.9682932166565,10,8192
27,2048,776.0076688671426,2070,0.6008060829999522,"[7, 3, 5, 2, 0, 4, 10, 11, 6, 13, 1, 9, 8, 12]",geometric,10,0.99,0.001,9.939798909955446,10,8192
28,4096,776.0076688671426,4118,1.6347659580001164,"[7, 3, 5, 2, 0, 4, 10, 11, 6, 13, 1, 9, 8, 12]",geometric,10,0.99,0.001,9.83704288492439,10,8192
29,8192,776.0076688671426,5312,2.5641634580001664,"[7, 3, 5, 2, 0, 4, 10, 11, 6, 13, 1, 9, 8, 12]",geometric,10,0.99,0.001,9.745585264252533,10,8192
30,0,1746.068052446119,0,7.833299969206564e-05,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 4, 7, 10, 3, 6]",geometric,50,0.99,0.001,49.99996063636773,50,8192
31,1,1621.3450189202163,2,0.03633529199987606,"[9, 11, 0, 12, 5, 8, 2, 1, 13, 10, 7, 4, 3, 6]",geometric,50,0.99,0.001,49.98174423914279,50,8192
32,2,1622.4721454465252,4,0.07262458300010621,"[9, 6, 0, 12, 5, 8, 2, 1, 13, 10, 7, 4, 3, 11]",geometric,50,0.99,0.001,49.9635182431447,50,8192
33,4,1608.4103743442531,7,0.11041570799989131,"[9, 6, 0, 12, 5, 8, 2, 1, 13, 10, 3, 4, 7, 11]",geometric,50,0.99,0.001,49.94454502785165,50,8192
34,8,1205.4130035306903,14,0.14690491700002895,"[9, 11, 0, 2, 5, 8, 12, 1, 13, 10, 6, 4, 7, 3]",geometric,50,0.99,0.001,49.92623228262418,50,8192
35,16,1148.463203782955,25,0.1828098329997374,"[9, 0, 12, 2, 5, 8, 10, 1, 13, 11, 6, 4, 7, 3]",geometric,50,0.99,0.001,49.908219329193244,50,8192
