,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,2674.1961002880785,150,0.003973957999733102,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",False,150,0.25,512
1,1,1870.4358753121573,302,0.11788441599946964,"[13, 10, 19, 21, 17, 12, 15, 8, 4, 11, 1, 6, 9, 18, 7, 20, 3, 2, 16, 5, 14, 0]",False,150,0.25,512
2,2,1776.724964434269,454,0.22948899999937566,"[12, 15, 1, 0, 8, 7, 3, 6, 18, 20, 13, 10, 17, 4, 16, 21, 2, 19, 9, 5, 14, 11]",False,150,0.25,512
3,4,1716.552592398674,758,0.4431626249997862,"[13, 10, 18, 15, 17, 12, 8, 14, 1, 11, 9, 6, 20, 19, 7, 5, 3, 2, 16, 21, 4, 0]",False,150,0.25,512
4,8,1640.5914772477722,1364,0.8722572500000751,"[13, 9, 18, 15, 17, 12, 8, 14, 1, 11, 10, 6, 20, 19, 7, 21, 3, 2, 16, 5, 4, 0]",False,150,0.25,512
5,16,1640.5914772477722,2572,1.663329375000103,"[13, 9, 18, 15, 17, 12, 8, 14, 1, 11, 10, 6, 20, 19, 7, 21, 3, 2, 16, 5, 4, 0]",False,150,0.25,512
6,32,1640.5914772477722,4988,3.2415230830001747,"[13, 9, 18, 15, 17, 12, 8, 14, 1, 11, 10, 6, 20, 19, 7, 21, 3, 2, 16, 5, 4, 0]",False,150,0.25,512
7,64,1640.5914772477722,9820,6.381008999999722,"[13, 9, 18, 15, 17, 12, 8, 14, 1, 11, 10, 6, 20, 19, 7, 21, 3, 2, 16, 5, 4, 0]",False,150,0.25,512
8,128,1640.5914772477722,19484,12.661537666000186,"[13, 9, 18, 15, 17, 12, 8, 14, 1, 11, 10, 6, 20, 19, 7, 21, 3, 2, 16, 5, 4, 0]",False,150,0.25,512
9,256,1640.5914772477722,38812,25.262803124999664,"[13, 9, 18, 15, 17, 12, 8, 14, 1, 11, 10, 6, 20, 19, 7, 21, 3, 2, 16, 5, 4, 0]",False,150,0.25,512
10,512,1640.5914772477722,76562,49.62067408299936,"[13, 9, 18, 15, 17, 12, 8, 14, 1, 11, 10, 6, 20, 19, 7, 21, 3, 2, 16, 5, 4, 0]",False,150,0.25,512
11,0,2674.1961002880785,150,0.0023274999994100654,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",False,150,0.5,512
12,1,1828.9925364540557,302,0.11283595900022192,"[7, 2, 21, 19, 20, 17, 18, 9, 16, 10, 11, 13, 5, 14, 15, 4, 0, 12, 8, 1, 6, 3]",False,150,0.5,512
13,2,1828.9925364540557,453,0.2235289999998713,"[7, 2, 21, 19, 20, 17, 18, 9, 16, 10, 11, 13, 5, 14, 15, 4, 0, 12, 8, 1, 6, 3]",False,150,0.5,512
14,4,1810.2769035330364,756,0.4410442919997877,"[12, 4, 1, 11, 10, 13, 6, 19, 16, 8, 0, 17, 9, 5, 3, 18, 14, 20, 21, 7, 2, 15]",False,150,0.5,512
15,8,1717.9225172217873,1362,0.8684130419997018,"[12, 4, 1, 11, 10, 13, 6, 19, 16, 8, 0, 17, 21, 5, 15, 18, 20, 9, 3, 7, 2, 14]",False,150,0.5,512
16,16,1717.9225172217873,2570,1.682237250000071,"[12, 4, 1, 11, 10, 13, 6, 19, 16, 8, 0, 17, 21, 5, 15, 18, 20, 9, 3, 7, 2, 14]",False,150,0.5,512
17,32,1717.9225172217873,4986,3.2396602499993605,"[12, 4, 1, 11, 10, 13, 6, 19, 16, 8, 0, 17, 21, 5, 15, 18, 20, 9, 3, 7, 2, 14]",False,150,0.5,512
18,64,1717.9225172217873,9818,6.3425787090000085,"[12, 4, 1, 11, 10, 13, 6, 19, 16, 8, 0, 17, 21, 5, 15, 18, 20, 9, 3, 7, 2, 14]",False,150,0.5,512
19,128,1717.9225172217873,19482,12.520906042000206,"[12, 4, 1, 11, 10, 13, 6, 19, 16, 8, 0, 17, 21, 5, 15, 18, 20, 9, 3, 7, 2, 14]",False,150,0.5,512
20,256,1717.9225172217873,38810,24.934148958999685,"[12, 4, 1, 11, 10, 13, 6, 19, 16, 8, 0, 17, 21, 5, 15, 18, 20, 9, 3, 7, 2, 14]",False,150,0.5,512
21,512,1717.9225172217873,76862,49.322274458999345,"[12, 4, 1, 11, 10, 13, 6, 19, 16, 8, 0, 17, 21, 5, 15, 18, 20, 9, 3, 7, 2, 14]",False,150,0.5,512
22,0,2674.1961002880785,150,0.0023018330002742005,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",False,150,0.75,512
23,1,2125.7430907253165,302,0.11632716599979176,"[12, 15, 11, 17, 1, 5, 10, 13, 18, 2, 6, 3, 7, 16, 4, 20, 21, 19, 9, 8, 14, 0]",False,150,0.75,512
24,2,2125.7430907253165,453,0.23084104100053082,"[12, 15, 11, 17, 1, 5, 10, 13, 18, 2, 6, 3, 7, 16, 4, 20, 21, 19, 9, 8, 14, 0]",False,150,0.75,512
25,4,1922.028773899673,756,0.45503583299978345,"[8, 21, 5, 7, 18, 9, 10, 13, 16, 2, 14, 12, 15, 19, 6, 20, 11, 1, 17, 3, 4, 0]",False,150,0.75,512
26,8,1778.5319905640586,1361,0.8954838750005365,"[7, 3, 16, 2, 19, 6, 18, 9, 15, 0, 5, 1, 11, 8, 4, 21, 10, 13, 20, 17, 14, 12]",False,150,0.75,512
27,16,1778.5319905640586,2569,1.7609529580004164,"[7, 3, 16, 2, 19, 6, 18, 9, 15, 0, 5, 1, 11, 8, 4, 21, 10, 13, 20, 17, 14, 12]",False,150,0.75,512
28,32,1778.5319905640586,4985,3.46572683300019,"[7, 3, 16, 2, 19, 6, 18, 9, 15, 0, 5, 1, 11, 8, 4, 21, 10, 13, 20, 17, 14, 12]",False,150,0.75,512
29,64,1747.117734840454,9818,6.819167999999991,"[12, 0, 11, 1, 4, 20, 6, 16, 2, 9, 5, 18, 10, 13, 19, 3, 8, 17, 15, 14, 7, 21]",False,150,0.75,512
30,128,1512.033273977173,19485,13.435856250000143,"[12, 0, 11, 1, 18, 20, 6, 10, 13, 19, 9, 14, 15, 8, 17, 3, 5, 4, 2, 16, 21, 7]",False,150,0.75,512
31,256,1447.8350269586483,38816,25.85873900000024,"[12, 0, 11, 1, 10, 20, 6, 13, 2, 21, 5, 14, 15, 8, 17, 3, 7, 19, 16, 18, 9, 4]",False,150,0.75,512
32,512,1447.8350269586483,77472,50.80678391600031,"[12, 0, 11, 1, 10, 20, 6, 13, 2, 21, 5, 14, 15, 8, 17, 3, 7, 19, 16, 18, 9, 4]",False,150,0.75,512
33,0,2674.1961002880785,200,0.0030379170002561295,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",False,200,0.25,512
34,1,1951.1842496740808,402,0.13001954199989996,"[17, 19, 20, 10, 11, 7, 3, 5, 21, 13, 6, 14, 2, 16, 9, 18, 12, 15, 8, 1, 4, 0]",False,200,0.25,512
35,2,1811.3012577057568,604,0.25861512499977835,"[20, 7, 5, 9, 18, 4, 0, 15, 11, 12, 8, 17, 14, 3, 10, 1, 19, 13, 6, 16, 21, 2]",False,200,0.25,512
36,4,1714.6793555700067,1007,0.5085022089997437,"[20, 18, 5, 9, 11, 4, 0, 15, 14, 12, 8, 17, 7, 3, 10, 1, 19, 13, 6, 16, 21, 2]",False,200,0.25,512
37,8,1714.6793555700067,1811,0.9945565420002822,"[20, 18, 5, 9, 11, 4, 0, 15, 14, 12, 8, 17, 7, 3, 10, 1, 19, 13, 6, 16, 21, 2]",False,200,0.25,512
38,16,1714.6793555700067,3419,1.9553045419997943,"[20, 18, 5, 9, 11, 4, 0, 15, 14, 12, 8, 17, 7, 3, 10, 1, 19, 13, 6, 16, 21, 2]",False,200,0.25,512
39,32,1714.6793555700067,6635,3.792224042000271,"[20, 18, 5, 9, 11, 4, 0, 15, 14, 12, 8, 17, 7, 3, 10, 1, 19, 13, 6, 16, 21, 2]",False,200,0.25,512
40,64,1714.6793555700067,13067,7.448666583999511,"[20, 18, 5, 9, 11, 4, 0, 15, 14, 12, 8, 17, 7, 3, 10, 1, 19, 13, 6, 16, 21, 2]",False,200,0.25,512
41,128,1714.6793555700067,25931,14.677633291999882,"[20, 18, 5, 9, 11, 4, 0, 15, 14, 12, 8, 17, 7, 3, 10, 1, 19, 13, 6, 16, 21, 2]",False,200,0.25,512
42,256,1714.6793555700067,51659,29.1211268750003,"[20, 18, 5, 9, 11, 4, 0, 15, 14, 12, 8, 17, 7, 3, 10, 1, 19, 13, 6, 16, 21, 2]",False,200,0.25,512
43,512,1714.6793555700067,101306,57.04601379199994,"[20, 18, 5, 9, 11, 4, 0, 15, 14, 12, 8, 17, 7, 3, 10, 1, 19, 13, 6, 16, 21, 2]",False,200,0.25,512
44,0,2674.1961002880785,200,0.003103291999650537,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",False,200,0.5,512
45,1,1815.3303533507583,402,0.13613645799978258,"[4, 15, 12, 11, 17, 0, 5, 3, 21, 16, 20, 19, 7, 14, 10, 13, 6, 2, 1, 18, 9, 8]",False,200,0.5,512
46,2,1775.1553139465782,604,0.2694333330000518,"[2, 16, 6, 11, 1, 4, 14, 8, 18, 20, 10, 13, 7, 21, 5, 17, 3, 15, 0, 12, 9, 19]",False,200,0.5,512
47,4,1775.1553139465782,1006,0.5424709999997503,"[2, 16, 6, 11, 1, 4, 14, 8, 18, 20, 10, 13, 7, 21, 5, 17, 3, 15, 0, 12, 9, 19]",False,200,0.5,512
48,8,1714.196622184536,1812,1.0458513749999838,"[21, 7, 5, 2, 18, 11, 1, 4, 0, 12, 15, 8, 6, 20, 3, 17, 14, 10, 13, 19, 16, 9]",False,200,0.5,512
49,16,1623.211232095905,3423,2.007365958000264,"[10, 3, 7, 15, 17, 8, 9, 19, 2, 16, 21, 14, 5, 0, 12, 4, 11, 1, 20, 13, 6, 18]",False,200,0.5,512
50,32,1623.211232095905,6639,3.8271207919997323,"[10, 3, 7, 15, 17, 8, 9, 19, 2, 16, 21, 14, 5, 0, 12, 4, 11, 1, 20, 13, 6, 18]",False,200,0.5,512
51,64,1623.211232095905,13071,7.447485708000386,"[10, 3, 7, 15, 17, 8, 9, 19, 2, 16, 21, 14, 5, 0, 12, 4, 11, 1, 20, 13, 6, 18]",False,200,0.5,512
52,128,1623.211232095905,25935,14.731373167000129,"[10, 3, 7, 15, 17, 8, 9, 19, 2, 16, 21, 14, 5, 0, 12, 4, 11, 1, 20, 13, 6, 18]",False,200,0.5,512
53,256,1623.211232095905,51663,29.2378440829998,"[10, 3, 7, 15, 17, 8, 9, 19, 2, 16, 21, 14, 5, 0, 12, 4, 11, 1, 20, 13, 6, 18]",False,200,0.5,512
54,512,1623.211232095905,103119,58.18651545800003,"[10, 3, 7, 15, 17, 8, 9, 19, 2, 16, 21, 14, 5, 0, 12, 4, 11, 1, 20, 13, 6, 18]",False,200,0.5,512
55,0,2674.1961002880785,200,0.0030164170002535684,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",False,200,0.75,512
56,1,2045.9169140096985,402,0.14208191700072348,"[21, 18, 6, 8, 20, 13, 10, 14, 15, 17, 0, 11, 1, 7, 4, 12, 5, 9, 2, 3, 19, 16]",False,200,0.75,512
57,2,1894.8834490671572,604,0.2802229590006391,"[12, 17, 8, 4, 0, 15, 5, 14, 6, 13, 11, 10, 3, 18, 9, 20, 2, 16, 21, 19, 7, 1]",False,200,0.75,512
58,4,1788.8480092487825,1007,0.5450276250003299,"[11, 1, 9, 15, 12, 0, 8, 17, 5, 21, 10, 6, 16, 14, 4, 2, 7, 3, 20, 19, 13, 18]",False,200,0.75,512
59,8,1788.8480092487825,1811,1.0617807500002527,"[11, 1, 9, 15, 12, 0, 8, 17, 5, 21, 10, 6, 16, 14, 4, 2, 7, 3, 20, 19, 13, 18]",False,200,0.75,512
60,16,1788.8480092487825,3419,2.0675195419999,"[11, 1, 9, 15, 12, 0, 8, 17, 5, 21, 10, 6, 16, 14, 4, 2, 7, 3, 20, 19, 13, 18]",False,200,0.75,512
61,32,1662.0491528825755,6636,4.051649542000632,"[21, 18, 20, 15, 0, 8, 12, 14, 5, 1, 4, 17, 6, 11, 9, 3, 7, 2, 13, 10, 19, 16]",False,200,0.75,512
62,64,1662.0491528825755,13068,7.927190959000654,"[21, 18, 20, 15, 0, 8, 12, 14, 5, 1, 4, 17, 6, 11, 9, 3, 7, 2, 13, 10, 19, 16]",False,200,0.75,512
63,128,1662.0491528825755,25932,15.513073459000225,"[21, 18, 20, 15, 0, 8, 12, 14, 5, 1, 4, 17, 6, 11, 9, 3, 7, 2, 13, 10, 19, 16]",False,200,0.75,512
64,256,1662.0491528825755,51660,29.959373375000723,"[21, 18, 20, 15, 0, 8, 12, 14, 5, 1, 4, 17, 6, 11, 9, 3, 7, 2, 13, 10, 19, 16]",False,200,0.75,512
65,512,1662.0491528825755,103116,58.86473854199994,"[21, 18, 20, 15, 0, 8, 12, 14, 5, 1, 4, 17, 6, 11, 9, 3, 7, 2, 13, 10, 19, 16]",False,200,0.75,512
66,0,2674.1961002880785,300,0.004503249999288528,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",False,300,0.25,512
67,1,1937.7092560873427,602,0.16902883399961866,"[8, 15, 5, 19, 2, 7, 18, 21, 13, 16, 20, 11, 17, 4, 9, 10, 6, 1, 14, 3, 12, 0]",False,300,0.25,512
68,2,1937.7092560873427,903,0.3345051249998505,"[8, 15, 5, 19, 2, 7, 18, 21, 13, 16, 20, 11, 17, 4, 9, 10, 6, 1, 14, 3, 12, 0]",False,300,0.25,512
69,4,1640.04964678528,1506,0.6526412089997393,"[17, 21, 16, 20, 19, 14, 15, 0, 8, 12, 4, 3, 7, 2, 5, 1, 11, 9, 10, 13, 6, 18]",False,300,0.25,512
70,8,1591.2004048134918,2711,1.2776222089996736,"[17, 21, 16, 19, 20, 14, 15, 0, 8, 12, 4, 3, 7, 2, 5, 1, 11, 9, 6, 13, 10, 18]",False,300,0.25,512
71,16,1506.348387262375,5122,2.460817249999309,"[17, 21, 16, 19, 9, 14, 15, 0, 8, 12, 5, 3, 7, 2, 1, 11, 18, 6, 10, 13, 20, 4]",False,300,0.25,512
72,32,1506.348387262375,9938,4.809695541999645,"[17, 21, 16, 19, 9, 14, 15, 0, 8, 12, 5, 3, 7, 2, 1, 11, 18, 6, 10, 13, 20, 4]",False,300,0.25,512
