,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,532.3904293878462,0,0.0008003330000008191,"[1, 4, 2, 0, 3]",25,512,0
1,1,532.3904293878462,1,0.004453957999999147,"[1, 4, 2, 0, 3]",25,512,0
2,2,527.4894081678625,3,0.00722195800000236,"[4, 1, 2, 0, 3]",25,512,0
3,4,527.4894081678625,5,0.0092576250000036,"[4, 1, 2, 0, 3]",25,512,0
4,8,527.4894081678625,9,0.010866208000003041,"[4, 1, 2, 0, 3]",25,512,0
5,16,498.23514413629016,18,0.012431291000005729,"[4, 1, 0, 2, 3]",25,512,0
6,32,498.23514413629016,34,0.014046125000000131,"[4, 1, 0, 2, 3]",25,512,0
7,64,498.23514413629016,66,0.016083790999999792,"[4, 1, 0, 2, 3]",25,512,0
8,128,498.23514413629016,130,0.020751166000003707,"[4, 1, 0, 2, 3]",25,512,0
9,256,498.23514413629016,258,0.02905904100000356,"[4, 1, 0, 2, 3]",25,512,0
10,512,498.23514413629016,514,0.05182366600000421,"[4, 1, 0, 2, 3]",25,512,0
11,0,498.2351441362902,514,0.05567745800000523,"[2, 3, 4, 1, 0]",25,512,1
12,1,498.2351441362902,515,0.05863733300000007,"[2, 3, 4, 1, 0]",25,512,1
13,2,498.2351441362902,516,0.061872749999999144,"[2, 3, 4, 1, 0]",25,512,1
14,4,498.2351441362902,518,0.06525687500000288,"[2, 3, 4, 1, 0]",25,512,1
15,8,498.2351441362902,522,0.06905191599999938,"[2, 3, 4, 1, 0]",25,512,1
16,16,498.2351441362902,530,0.07287612500000051,"[2, 3, 4, 1, 0]",25,512,1
17,32,498.2351441362902,546,0.077471666000001,"[2, 3, 4, 1, 0]",25,512,1
18,64,498.2351441362902,578,0.08415562500000107,"[2, 3, 4, 1, 0]",25,512,1
19,128,498.2351441362902,642,0.09444608300000112,"[2, 3, 4, 1, 0]",25,512,1
20,256,498.2351441362902,770,0.11387937500000334,"[2, 3, 4, 1, 0]",25,512,1
21,512,498.2351441362902,1026,0.15681537500000076,"[2, 3, 4, 1, 0]",25,512,1
22,0,532.3904293878462,1026,0.16207312499999915,"[0, 3, 1, 4, 2]",25,512,2
23,1,532.3904293878462,1027,0.1670540410000001,"[0, 3, 1, 4, 2]",25,512,2
24,2,527.4894081678625,1029,0.17224112499999933,"[0, 2, 1, 4, 3]",25,512,2
25,4,527.4894081678625,1031,0.17752204100000313,"[0, 2, 1, 4, 3]",25,512,2
26,8,498.2351441362902,1036,0.18287025000000057,"[0, 2, 3, 4, 1]",25,512,2
27,16,498.2351441362902,1044,0.18901733300000245,"[0, 2, 3, 4, 1]",25,512,2
28,32,498.2351441362902,1060,0.1967895830000046,"[0, 2, 3, 4, 1]",25,512,2
29,64,498.2351441362902,1092,0.2075213749999989,"[0, 2, 3, 4, 1]",25,512,2
30,128,498.2351441362902,1156,0.2246365410000024,"[0, 2, 3, 4, 1]",25,512,2
31,256,498.2351441362902,1284,0.25539108299999924,"[0, 2, 3, 4, 1]",25,512,2
32,512,498.2351441362902,1540,0.3209117500000005,"[0, 2, 3, 4, 1]",25,512,2
