,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,24.0,0,7.095899991327315e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1,0.99,0.001,0.9999992868384734,1,8192
1,1,25.0,2,0.004199249999942367,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1,0.99,0.001,0.9999577970177387,1,8192
2,2,25.0,4,0.010522124999965854,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1,0.99,0.001,0.9998942547012861,1,8192
3,4,24.0,7,0.0157178339999291,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1,0.99,0.001,0.9998420429659373,1,8192
4,8,29.0,15,0.02514558399991529,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",geometric,1,0.99,0.001,0.9997473103669731,1,8192
5,16,26.0,29,0.03000974999997652,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",geometric,1,0.99,0.001,0.9996984374127611,1,8192
6,32,25.0,58,0.0434053749999066,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",geometric,1,0.99,0.001,0.9995638565416255,1,8192
7,64,32.0,112,0.045924541999966095,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.9995385494300609,1,8192
8,128,37.0,188,0.054125375000012355,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.9994561697323678,1,8192
9,256,37.0,316,0.06618979199993191,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.9993349915765081,1,8192
10,512,37.0,572,0.11389295899994067,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.9988559923869141,1,8192
