,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,3.0,0,0.00024970799995571724,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",25,512,0
1,1,13.0,2,0.0034110419999251462,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",25,512,0
2,2,13.0,3,0.005207749999954103,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",25,512,0
3,4,13.0,5,0.006513583000014478,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",25,512,0
4,8,13.0,9,0.00793779200012068,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",25,512,0
5,16,16.0,18,0.009584082999936072,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]",25,512,0
6,32,17.0,35,0.01159658300002775,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",25,512,0
7,64,17.0,67,0.014022916999920199,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",25,512,0
8,128,17.0,131,0.017805917000032423,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",25,512,0
9,256,17.0,259,0.024792458000092665,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",25,512,0
10,512,17.0,515,0.04442983300009473,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",25,512,0
11,0,2.0,515,0.04772687500008033,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",25,512,1
12,1,12.0,517,0.05071433300008721,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 1]",25,512,1
13,2,14.0,519,0.053960749999987456,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]",25,512,1
14,4,14.0,521,0.057188624999980675,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]",25,512,1
15,8,14.0,525,0.06064549999996416,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]",25,512,1
16,16,14.0,533,0.06421783299992967,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]",25,512,1
17,32,16.0,550,0.06861354200009373,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",25,512,1
