,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,3.0,0,8.641699969302863e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",geometric,1,0.99,0.001,0.9999991314805068,1,8192
1,1,13.0,2,0.0029118339998603915,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",geometric,1,0.99,0.001,0.9999707355185651,1,8192
2,2,12.0,4,0.005170292000002519,"[0, 1, 1, 0, 0, 1, 1, 0, 0, 1]",geometric,1,0.99,0.001,0.9999480381790015,1,8192
3,4,13.0,7,0.006654249999883177,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",geometric,1,0.99,0.001,0.9999331247888946,1,8192
4,8,13.0,12,0.007944083999973373,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 1]",geometric,1,0.99,0.001,0.9999201624749366,1,8192
5,16,14.0,28,0.009262624999792024,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 1]",geometric,1,0.99,0.001,0.9999069118408387,1,8192
6,32,15.0,52,0.010728624999956082,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",geometric,1,0.99,0.001,0.999892179528549,1,8192
7,64,16.0,93,0.012618291999842768,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 1]",geometric,1,0.99,0.001,0.9998731899685759,1,8192
8,128,18.0,173,0.015879042000051413,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9998404230286272,1,8192
9,256,18.0,303,0.02345604199990703,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9997642866848568,1,8192
10,512,18.0,559,0.04398983400005818,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9995579851115365,1,8192
11,1024,18.0,1071,0.11524958399968455,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.998842373540897,1,8192
12,2048,18.0,2095,0.385633833999691,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9961317514752845,1,8192
13,4096,18.0,4143,1.4176582089999101,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9858530804350387,1,8192
14,8192,18.0,5214,2.2283170419996168,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9778535792145773,1,8192
15,0,3.0,0,5.341599990060786e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",geometric,10,0.99,0.001,9.999994631514053,10,8192
16,1,13.0,2,0.016230290999828867,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",geometric,10,0.99,0.001,9.998368934277751,10,8192
17,2,12.0,4,0.032567082999776176,"[0, 1, 1, 0, 0, 1, 1, 0, 0, 1]",geometric,10,0.99,0.001,9.996727434381976,10,8192
18,4,13.0,7,0.04870662499979517,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",geometric,10,0.99,0.001,9.995106018548201,10,8192
19,8,2.0,15,0.06523174999983894,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1]",geometric,10,0.99,0.001,9.993446138635662,10,8192
20,16,14.0,30,0.08257591599976877,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.991704285955684,10,8192
21,32,15.0,61,0.09966558299993267,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",geometric,10,0.99,0.001,9.989988289243342,10,8192
22,64,14.0,121,0.11896187499996813,"[0, 1, 0, 1, 1, 1, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.988051076555319,10,8192
23,128,15.0,231,0.1394934159998229,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.985990266006224,10,8192
24,256,17.0,447,0.16629762499997014,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.983300489396807,10,8192
25,512,18.0,707,0.20801591600002212,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.979115540257101,10,8192
26,1024,18.0,1219,0.293412250000074,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.970554520542079,10,8192
27,2048,18.0,2243,0.5674544999997124,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.943131235436075,10,8192
28,4096,18.0,4291,1.5878221660000236,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.84168510538888,10,8192
29,8192,18.0,5472,2.4855688329998884,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.753286366382232,10,8192
30,0,3.0,0,5.462500030262163e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",geometric,50,0.99,0.001,49.999972550027586,50,8192
31,1,13.0,2,0.03289283300000534,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",geometric,50,0.99,0.001,49.983473530902636,50,8192
32,2,12.0,4,0.06409725000003164,"[0, 1, 1, 0, 0, 1, 1, 0, 0, 1]",geometric,50,0.99,0.001,49.96780042808847,50,8192
33,4,4.0,8,0.09542945800012603,"[0, 1, 1, 0, 1, 1, 1, 1, 0, 1]",geometric,50,0.99,0.001,49.95206808421807,50,8192
