,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,3.0,150,0.001327667000623478,"[0, 1, 0, 0, 0]",150,0.4,2048
1,1,8.0,302,0.008106541999950423,"[1, 1, 1, 0, 0]",150,0.4,2048
2,2,8.0,453,0.012603459000274597,"[1, 1, 1, 0, 0]",150,0.4,2048
3,4,8.0,755,0.01919133400042483,"[1, 1, 1, 0, 0]",150,0.4,2048
4,8,8.0,1359,0.0312244169999758,"[1, 1, 1, 0, 0]",150,0.4,2048
5,16,8.0,2567,0.05383400000027905,"[1, 1, 1, 0, 0]",150,0.4,2048
6,32,8.0,4983,0.09783316700031719,"[1, 1, 1, 0, 0]",150,0.4,2048
7,64,8.0,9815,0.18506462500045018,"[1, 1, 1, 0, 0]",150,0.4,2048
8,128,8.0,19479,0.35923058400021546,"[1, 1, 1, 0, 0]",150,0.4,2048
9,256,8.0,38807,0.6984840420000182,"[1, 1, 1, 0, 0]",150,0.4,2048
10,512,8.0,77463,1.380428500000562,"[1, 1, 1, 0, 0]",150,0.4,2048
11,1024,8.0,151302,2.7194465420006964,"[1, 1, 1, 0, 0]",150,0.4,2048
12,2048,8.0,151302,2.7194465420006964,"[1, 1, 1, 0, 0]",150,0.4,2048
13,0,3.0,150,0.0009425409998584655,"[0, 1, 0, 0, 0]",150,0.5,2048
14,1,8.0,302,0.0075844579996555694,"[1, 1, 1, 0, 0]",150,0.5,2048
15,2,8.0,453,0.014392207999662787,"[1, 1, 1, 0, 0]",150,0.5,2048
16,4,8.0,755,0.02372508300049958,"[1, 1, 1, 0, 0]",150,0.5,2048
17,8,8.0,1359,0.03848270799971942,"[1, 1, 1, 0, 0]",150,0.5,2048
18,16,8.0,2567,0.06403162500009785,"[1, 1, 1, 0, 0]",150,0.5,2048
19,32,8.0,4983,0.1112580409999282,"[1, 1, 1, 0, 0]",150,0.5,2048
20,64,8.0,9815,0.20189270799983206,"[1, 1, 1, 0, 0]",150,0.5,2048
21,128,8.0,19479,0.3746391249997032,"[1, 1, 1, 0, 0]",150,0.5,2048
22,256,8.0,38807,0.7168047080003817,"[1, 1, 1, 0, 0]",150,0.5,2048
23,512,8.0,77463,1.4188300830001026,"[1, 1, 1, 0, 0]",150,0.5,2048
24,1024,8.0,151302,2.7636895409996214,"[1, 1, 1, 0, 0]",150,0.5,2048
25,2048,8.0,151302,2.7636895409996214,"[1, 1, 1, 0, 0]",150,0.5,2048
26,0,3.0,150,0.0009208749997924315,"[0, 1, 0, 0, 0]",150,0.6,2048
27,1,8.0,302,0.010775208999802999,"[1, 1, 1, 0, 0]",150,0.6,2048
28,2,8.0,453,0.021316374999514665,"[1, 1, 1, 0, 0]",150,0.6,2048
29,4,8.0,755,0.09995904199968209,"[1, 1, 1, 0, 0]",150,0.6,2048
