column0,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
2040,0,0.0029447920001075545,177.0,150.0,150,0.6,2048
2041,1,0.008515292000083718,177.0,301.0,150,0.6,2048
2042,2,0.01311258300006557,177.0,452.0,150,0.6,2048
2043,3,0.018178457999965758,177.0,603.0,150,0.6,2048
2044,4,0.02123870800005534,194.0,755.0,150,0.6,2048
2045,5,0.026305374999992637,194.0,906.0,150,0.6,2048
2046,6,0.029580708000139566,194.0,1057.0,150,0.6,2048
2047,7,0.03271845800009032,194.0,1208.0,150,0.6,2048
2048,8,0.03594054200016217,208.0,1360.0,150,0.6,2048
2049,9,0.04060437500015723,208.0,1511.0,150,0.6,2048
2050,10,0.043720750000147746,208.0,1662.0,150,0.6,2048
2051,11,0.04695379200006755,208.0,1813.0,150,0.6,2048
2052,12,0.05008370800010198,208.0,1964.0,150,0.6,2048
2053,13,0.05327266700010114,208.0,2115.0,150,0.6,2048
2054,14,0.056358833000103914,210.0,2267.0,150,0.6,2048
2055,15,0.05944825000005949,210.0,2418.0,150,0.6,2048
2056,16,0.06262087499999325,210.0,2569.0,150,0.6,2048
2057,17,0.06724829200015847,211.0,2721.0,150,0.6,2048
2058,18,0.07025670799998807,211.0,2872.0,150,0.6,2048
2059,19,0.07317487500017705,211.0,3023.0,150,0.6,2048
2060,20,0.07612912500007951,211.0,3174.0,150,0.6,2048
2061,21,0.07915654199996425,211.0,3325.0,150,0.6,2048
2062,22,0.08236987500004034,211.0,3476.0,150,0.6,2048
2063,23,0.08545641700015949,211.0,3627.0,150,0.6,2048
2064,24,0.08853287500005536,211.0,3778.0,150,0.6,2048
2065,25,0.09164358300017739,211.0,3929.0,150,0.6,2048
2066,26,0.09483575000012934,211.0,4080.0,150,0.6,2048
2067,27,0.0978918750001867,211.0,4231.0,150,0.6,2048
2068,28,0.10098533300015333,211.0,4382.0,150,0.6,2048
2069,29,0.10406845800002884,211.0,4533.0,150,0.6,2048
2070,30,0.10715875000005326,211.0,4684.0,150,0.6,2048
2071,31,0.11029666700005691,211.0,4835.0,150,0.6,2048
2072,32,0.11343637499999204,211.0,4986.0,150,0.6,2048
2073,33,0.11876266700005544,211.0,5137.0,150,0.6,2048
2074,34,0.12191258300003938,211.0,5288.0,150,0.6,2048
2075,35,0.12504725000007966,211.0,5439.0,150,0.6,2048
2076,36,0.12819816700016418,211.0,5590.0,150,0.6,2048
2077,37,0.13137287500012462,211.0,5741.0,150,0.6,2048
2078,38,0.13440824999997858,211.0,5892.0,150,0.6,2048
2079,39,0.13737391700010448,211.0,6043.0,150,0.6,2048
2080,40,0.14034141700017244,211.0,6194.0,150,0.6,2048
2081,41,0.14331508300006135,211.0,6345.0,150,0.6,2048
2082,42,0.14632412500009195,211.0,6496.0,150,0.6,2048
2083,43,0.1494444580000618,211.0,6647.0,150,0.6,2048
2084,44,0.15242400000011003,211.0,6798.0,150,0.6,2048
2085,45,0.1553937500000302,211.0,6949.0,150,0.6,2048
2086,46,0.15836779200003548,211.0,7100.0,150,0.6,2048
2087,47,0.16130850000013197,211.0,7251.0,150,0.6,2048
2088,48,0.16428450000012162,211.0,7402.0,150,0.6,2048
2089,49,0.16727012500018645,211.0,7553.0,150,0.6,2048
2090,50,0.17049495800006298,211.0,7704.0,150,0.6,2048
2091,51,0.1736329170000772,211.0,7855.0,150,0.6,2048
2092,52,0.1766341669999747,211.0,8006.0,150,0.6,2048
2093,53,0.17966562500009786,211.0,8157.0,150,0.6,2048
2094,54,0.18267816700017647,211.0,8308.0,150,0.6,2048
