column0,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
1007,0,0.0026704590000008466,24.0,150.0,false,150,0.75,512
1008,1,0.05725245899998299,33.0,302.0,false,150,0.75,512
1009,2,0.11127095899996675,34.0,454.0,false,150,0.75,512
1010,3,0.16363170900001478,34.0,605.0,false,150,0.75,512
1011,4,0.21383300000002237,37.0,757.0,false,150,0.75,512
1012,5,0.264565042000072,37.0,908.0,false,150,0.75,512
1013,6,0.3113239169999815,37.0,1059.0,false,150,0.75,512
1014,7,0.35519379200002277,37.0,1210.0,false,150,0.75,512
1015,8,0.40068845899997996,37.0,1361.0,false,150,0.75,512
1016,9,0.44748779200006084,37.0,1512.0,false,150,0.75,512
1017,10,0.4936027500000364,37.0,1663.0,false,150,0.75,512
1018,11,0.5390999590000547,37.0,1814.0,false,150,0.75,512
1019,12,0.5844316249999792,37.0,1965.0,false,150,0.75,512
1020,13,0.6295260840000765,37.0,2116.0,false,150,0.75,512
1021,14,0.6743906250000009,37.0,2267.0,false,150,0.75,512
1022,15,0.7191525000000638,37.0,2418.0,false,150,0.75,512
1023,16,0.7642174999999725,37.0,2569.0,false,150,0.75,512
1024,17,0.8108625419999953,37.0,2720.0,false,150,0.75,512
1025,18,0.8553402500000402,37.0,2871.0,false,150,0.75,512
1026,19,0.900329499999998,37.0,3022.0,false,150,0.75,512
1027,20,0.9450368340000068,37.0,3173.0,false,150,0.75,512
1028,21,0.9891569999999774,37.0,3324.0,false,150,0.75,512
1029,22,1.0341227090000302,37.0,3475.0,false,150,0.75,512
1030,23,1.078494292000073,37.0,3626.0,false,150,0.75,512
1031,24,1.1237955840000495,37.0,3777.0,false,150,0.75,512
1032,25,1.1688033340000175,37.0,3928.0,false,150,0.75,512
1033,26,1.2135507090000601,37.0,4079.0,false,150,0.75,512
1034,27,1.258146958999987,37.0,4230.0,false,150,0.75,512
1035,28,1.303121334000025,37.0,4381.0,false,150,0.75,512
1036,29,1.3479411670000445,37.0,4532.0,false,150,0.75,512
1037,30,1.392539499999998,37.0,4683.0,false,150,0.75,512
