column0,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.0009149589999992713,24.0,0.0,25,512,0
1,1,0.006565417000004459,25.0,2.0,25,512,0
513,1,0.006565417000004459,25.0,517.0,25,512,1
1025,1,0.006565417000004459,23.0,1030.0,25,512,2
1537,1,0.006565417000004459,24.0,1551.0,25,512,3
2049,1,0.006565417000004459,26.0,2070.0,25,512,4
2561,1,0.006565417000004459,25.0,2587.0,25,512,5
3073,1,0.006565417000004459,24.0,3105.0,25,512,6
3585,1,0.006565417000004459,24.0,3625.0,25,512,7
4097,1,0.006565417000004459,25.0,4144.0,25,512,8
4609,1,0.006565417000004459,26.0,4665.0,25,512,9
5121,1,0.006565417000004459,23.0,5186.0,25,512,10
5633,1,0.006565417000004459,24.0,5706.0,25,512,11
6145,1,0.006565417000004459,24.0,6223.0,25,512,12
6657,1,0.006565417000004459,24.0,6739.0,25,512,13
7169,1,0.006565417000004459,24.0,7256.0,25,512,14
7681,1,0.006565417000004459,28.0,7773.0,25,512,15
8193,1,0.006565417000004459,24.0,8291.0,25,512,16
8705,1,0.006565417000004459,25.0,8813.0,25,512,17
9217,1,0.006565417000004459,23.0,9332.0,25,512,18
9729,1,0.006565417000004459,6.0,9849.0,25,512,19
10241,1,0.006565417000004459,5.0,10366.0,25,512,20
10753,1,0.006565417000004459,28.0,10887.0,25,512,21
11265,1,0.006565417000004459,24.0,11402.0,25,512,22
11777,1,0.006565417000004459,25.0,11922.0,25,512,23
12289,1,0.006565417000004459,4.0,12441.0,25,512,24
12801,1,0.006565417000004459,3.0,12962.0,25,512,25
2,2,0.008031959000007305,25.0,3.0,25,512,0
514,2,0.008031959000007305,25.0,518.0,25,512,1
1026,2,0.008031959000007305,24.0,1032.0,25,512,2
1538,2,0.008031959000007305,24.0,1552.0,25,512,3
2050,2,0.008031959000007305,27.0,2072.0,25,512,4
2562,2,0.008031959000007305,25.0,2588.0,25,512,5
3074,2,0.008031959000007305,24.0,3106.0,25,512,6
3586,2,0.008031959000007305,27.0,3627.0,25,512,7
4098,2,0.008031959000007305,25.0,4145.0,25,512,8
4610,2,0.008031959000007305,26.0,4666.0,25,512,9
5122,2,0.008031959000007305,24.0,5188.0,25,512,10
5634,2,0.008031959000007305,24.0,5707.0,25,512,11
6146,2,0.008031959000007305,25.0,6225.0,25,512,12
6658,2,0.008031959000007305,24.0,6740.0,25,512,13
7170,2,0.008031959000007305,24.0,7257.0,25,512,14
7682,2,0.008031959000007305,28.0,7774.0,25,512,15
8194,2,0.008031959000007305,24.0,8292.0,25,512,16
8706,2,0.008031959000007305,25.0,8814.0,25,512,17
9218,2,0.008031959000007305,23.0,9333.0,25,512,18
9730,2,0.008031959000007305,6.0,9850.0,25,512,19
10242,2,0.008031959000007305,5.0,10367.0,25,512,20
10754,2,0.008031959000007305,28.0,10888.0,25,512,21
11266,2,0.008031959000007305,24.0,11403.0,25,512,22
11778,2,0.008031959000007305,25.0,11923.0,25,512,23
12290,2,0.008031959000007305,4.0,12442.0,25,512,24
12802,2,0.008031959000007305,5.0,12964.0,25,512,25
3,3,0.009708416999998803,29.0,5.0,25,512,0
515,3,0.009708416999998803,25.0,519.0,25,512,1
1027,3,0.009708416999998803,24.0,1033.0,25,512,2
1539,3,0.009708416999998803,24.0,1553.0,25,512,3
2051,3,0.009708416999998803,27.0,2073.0,25,512,4
2563,3,0.009708416999998803,26.0,2590.0,25,512,5
3075,3,0.009708416999998803,24.0,3107.0,25,512,6
3587,3,0.009708416999998803,27.0,3628.0,25,512,7
4099,3,0.009708416999998803,25.0,4146.0,25,512,8
4611,3,0.009708416999998803,26.0,4667.0,25,512,9
5123,3,0.009708416999998803,24.0,5189.0,25,512,10
5635,3,0.009708416999998803,24.0,5708.0,25,512,11
6147,3,0.009708416999998803,25.0,6226.0,25,512,12
6659,3,0.009708416999998803,24.0,6741.0,25,512,13
7171,3,0.009708416999998803,24.0,7258.0,25,512,14
7683,3,0.009708416999998803,28.0,7775.0,25,512,15
8195,3,0.009708416999998803,24.0,8293.0,25,512,16
8707,3,0.009708416999998803,25.0,8815.0,25,512,17
9219,3,0.009708416999998803,24.0,9335.0,25,512,18
9731,3,0.009708416999998803,26.0,9852.0,25,512,19
10243,3,0.009708416999998803,5.0,10368.0,25,512,20
10755,3,0.009708416999998803,28.0,10889.0,25,512,21
11267,3,0.009708416999998803,24.0,11404.0,25,512,22
11779,3,0.009708416999998803,25.0,11924.0,25,512,23
12291,3,0.009708416999998803,4.0,12443.0,25,512,24
12803,3,0.009708416999998803,5.0,12965.0,25,512,25
4,4,0.009732209000006264,29.0,6.0,25,512,0
516,4,0.009732209000006264,25.0,520.0,25,512,1
1028,4,0.009732209000006264,26.0,1035.0,25,512,2
1540,4,0.009732209000006264,24.0,1554.0,25,512,3
2052,4,0.009732209000006264,27.0,2074.0,25,512,4
2564,4,0.009732209000006264,26.0,2591.0,25,512,5
3076,4,0.009732209000006264,24.0,3108.0,25,512,6
3588,4,0.009732209000006264,27.0,3629.0,25,512,7
4100,4,0.009732209000006264,26.0,4148.0,25,512,8
4612,4,0.009732209000006264,26.0,4668.0,25,512,9
5124,4,0.009732209000006264,24.0,5190.0,25,512,10
5636,4,0.009732209000006264,24.0,5709.0,25,512,11
6148,4,0.009732209000006264,25.0,6227.0,25,512,12
6660,4,0.009732209000006264,28.0,6743.0,25,512,13
