column0,Iteration,Time,Fitness,FEvals,Temperature,max_iters
37717,0,7.654099999854225e-05,177.0,0.0,2500,8192
37718,1,0.007036958000071536,169.0,2.0,2500,8192
37719,2,0.008656582999947204,166.0,4.0,2500,8192
37720,3,0.011668750000126238,172.0,6.0,2500,8192
37721,4,0.011696958000129598,140.0,8.0,2500,8192
37722,5,0.013069915999949444,134.0,10.0,2500,8192
37723,6,0.013094124999952328,126.0,12.0,2500,8192
37724,7,0.0131131660000392,118.0,14.0,2500,8192
37725,8,0.013136457999962659,126.0,16.0,2500,8192
37726,9,0.014481541000122888,138.0,18.0,2500,8192
37727,10,0.014505750000125772,140.0,20.0,2500,8192
37728,11,0.014525290999927165,164.0,22.0,2500,8192
37729,12,0.014543958000103885,140.0,24.0,2500,8192
37730,13,0.014561875000026703,135.0,26.0,2500,8192
37731,14,0.014579541000102836,125.0,28.0,2500,8192
37732,15,0.014596833000041443,109.0,30.0,2500,8192
37733,16,0.014615166000112367,133.0,32.0,2500,8192
37734,17,0.016669207999939317,138.0,34.0,2500,8192
37735,18,0.016698625000117318,126.0,36.0,2500,8192
37736,19,0.016720208000151615,141.0,38.0,2500,8192
37737,20,0.016740583000000697,125.0,40.0,2500,8192
37738,21,0.016760208000050625,131.0,42.0,2500,8192
37739,22,0.016779875000111133,139.0,44.0,2500,8192
37740,23,0.0167994160001399,124.0,46.0,2500,8192
37741,24,0.016818833000115774,108.0,48.0,2500,8192
37742,25,0.016838499999948908,98.0,50.0,2500,8192
37743,26,0.016858208000030572,94.0,52.0,2500,8192
37744,27,0.01687787500009108,104.0,54.0,2500,8192
37745,28,0.01689758299994537,128.0,56.0,2500,8192
37746,29,0.016917416000069352,120.0,58.0,2500,8192
37747,30,0.01693670800000291,118.0,60.0,2500,8192
37748,31,0.016956916000026467,102.0,62.0,2500,8192
37749,32,0.016976999999997133,97.0,64.0,2500,8192
37750,33,0.02036245800013603,112.0,66.0,2500,8192
37751,34,0.020399916000087615,108.0,68.0,2500,8192
37752,35,0.020424958000148763,112.0,70.0,2500,8192
37753,36,0.02044820800006164,88.0,72.0,2500,8192
37754,37,0.02047050000010131,96.0,74.0,2500,8192
37755,38,0.02049220799995055,72.0,76.0,2500,8192
37756,39,0.020513958000037746,57.0,78.0,2500,8192
37757,40,0.020534958000098413,69.0,80.0,2500,8192
37758,41,0.020557290999931865,54.0,82.0,2500,8192
37759,42,0.020579166000061377,64.0,84.0,2500,8192
37760,43,0.020601250000026994,60.0,86.0,2500,8192
37761,44,0.020623124999929132,64.0,88.0,2500,8192
37762,45,0.020645541000021694,72.0,90.0,2500,8192
37763,46,0.020668083000145998,78.0,92.0,2500,8192
37764,47,0.02069050000000061,72.0,94.0,2500,8192
37765,48,0.020712916000093173,88.0,96.0,2500,8192
37766,49,0.020735500000000684,96.0,98.0,2500,8192
37767,50,0.020758083000146144,84.0,100.0,2500,8192
37768,51,0.02078066600006423,76.0,102.0,2500,8192
37769,52,0.0208029580001039,82.0,104.0,2500,8192
37770,53,0.020826541000133147,74.0,106.0,2500,8192
37771,54,0.02084975000002487,66.0,108.0,2500,8192
37772,55,0.020873291000043537,50.0,110.0,2500,8192
37773,56,0.020896958000093946,42.0,112.0,2500,8192
37774,57,0.020920124999975087,58.0,114.0,2500,8192
37775,58,0.02094462500008376,82.0,116.0,2500,8192
37776,59,0.020969333000039114,78.0,118.0,2500,8192
37777,60,0.020993458000020837,86.0,120.0,2500,8192
37778,61,0.02101816599997619,90.0,122.0,2500,8192
37779,62,0.02104250000002139,86.0,124.0,2500,8192
37780,63,0.021066291000124693,91.0,126.0,2500,8192
37781,64,0.02109154100003252,89.0,128.0,2500,8192
37782,65,0.02287420800007567,93.0,130.0,2500,8192
37783,66,0.022904375000052823,88.0,132.0,2500,8192
37784,67,0.02293037499998718,78.0,134.0,2500,8192
37785,68,0.022956750000048487,86.0,136.0,2500,8192
