column0,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,8.508300015819259e-05,38.0,0.0,1,8192
1,1,0.003155125000375847,38.0,2.0,1,8192
2,2,0.004787290999956895,38.0,3.0,1,8192
3,3,0.006157625000014377,38.0,4.0,1,8192
4,4,0.006180250000397791,38.0,5.0,1,8192
5,5,0.007459375000507862,38.0,7.0,1,8192
6,6,0.007487666000088211,38.0,9.0,1,8192
7,7,0.007511833000535262,38.0,11.0,1,8192
8,8,0.007534791000580299,38.0,13.0,1,8192
9,9,0.008866666000358236,38.0,15.0,1,8192
10,10,0.00888820799991663,38.0,16.0,1,8192
11,11,0.008911708000596263,38.0,18.0,1,8192
12,12,0.00892900000053487,38.0,19.0,1,8192
13,13,0.008951875000093423,38.0,21.0,1,8192
14,14,0.008968957999968552,38.0,22.0,1,8192
15,15,0.008992250000119384,35.0,24.0,1,8192
16,16,0.009015499999804888,35.0,26.0,1,8192
17,17,0.010312207999959355,37.0,28.0,1,8192
18,18,0.010341500000322412,37.0,30.0,1,8192
19,19,0.010366583000177343,37.0,32.0,1,8192
20,20,0.010390999999799533,37.0,34.0,1,8192
21,21,0.010414708000098472,37.0,36.0,1,8192
22,22,0.01043945800029178,37.0,38.0,1,8192
23,23,0.010463665999850491,37.0,40.0,1,8192
24,24,0.010487250000551285,37.0,42.0,1,8192
25,25,0.010511500000575325,37.0,44.0,1,8192
26,26,0.010535708000134036,37.0,46.0,1,8192
27,27,0.010559875000581087,37.0,48.0,1,8192
28,28,0.010578958000223793,37.0,49.0,1,8192
29,29,0.010604541000247991,36.0,51.0,1,8192
30,30,0.010624125000504137,36.0,52.0,1,8192
31,31,0.010643833000358427,36.0,53.0,1,8192
32,32,0.010663166000085766,36.0,54.0,1,8192
33,33,0.011979500000052212,37.0,56.0,1,8192
34,34,0.01200425000024552,37.0,57.0,1,8192
35,35,0.012025458000607614,37.0,58.0,1,8192
36,36,0.01205116600067413,39.0,60.0,1,8192
37,37,0.01207766600055038,39.0,62.0,1,8192
38,38,0.012104416000511264,39.0,64.0,1,8192
39,39,0.012126291000640776,39.0,65.0,1,8192
40,40,0.012147333000029903,39.0,66.0,1,8192
41,41,0.01216858299994783,39.0,67.0,1,8192
42,42,0.012189416000182973,39.0,68.0,1,8192
43,43,0.012216875000376604,39.0,70.0,1,8192
44,44,0.012238375000379165,39.0,71.0,1,8192
45,45,0.012259957999958715,39.0,72.0,1,8192
46,46,0.01228154100044776,39.0,73.0,1,8192
47,47,0.012309041000662546,39.0,75.0,1,8192
